uid,row_id,cell,source_group,first_error_step_1based,steps,gate_open,all32_miss,iu__ridge+tcn+bocpd,equal__ridge+tcn+bocpd,iu__ridge+tcn+noreset,equal__ridge+tcn+noreset,iu__ridge+tcn+mean16,equal__ridge+tcn+mean16,iu__ridge+bocpd+noreset,equal__ridge+bocpd+noreset,iu__ridge+bocpd+mean16,equal__ridge+bocpd+mean16,iu__ridge+noreset+mean16,equal__ridge+noreset+mean16,iu__tcn+bocpd+noreset,equal__tcn+bocpd+noreset,iu__tcn+bocpd+mean16,equal__tcn+bocpd+mean16,iu__tcn+noreset+mean16,equal__tcn+noreset+mean16,iu__bocpd+noreset+mean16,equal__bocpd+noreset+mean16,iu__ridge+tcn+bocpd+noreset,equal__ridge+tcn+bocpd+noreset,iu__ridge+tcn+bocpd+mean16,equal__ridge+tcn+bocpd+mean16,iu__ridge+tcn+noreset+mean16,equal__ridge+tcn+noreset+mean16,iu__ridge+bocpd+noreset+mean16,equal__ridge+bocpd+noreset+mean16,iu__tcn+bocpd+noreset+mean16,equal__tcn+bocpd+noreset+mean16,iu__ridge+tcn+bocpd+noreset+mean16,equal__ridge+tcn+bocpd+noreset+mean16,tcn__real,ridge,bocpd,innovation5
pb_gsm8k_q4__db269e0c124dd3e0,gsm8k::gsm8k-0,pb_gsm8k_q4,pb_source_v2:5f6c587679bc685623729580,2,4,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_gsm8k_q4__4407513f3cdfc332,gsm8k::gsm8k-1,pb_gsm8k_q4,pb_source_v2:7d6d55556179eb619b39dfe0,2,7,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_gsm8k_q4__aec26828eeb2c27e,gsm8k::gsm8k-10,pb_gsm8k_q4,pb_source_v2:6b5ff58f4bed030d2756fea6,1,5,True,True,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_gsm8k_q4__3695a29cb159ffbf,gsm8k::gsm8k-100,pb_gsm8k_q4,pb_source_v2:ae51d9dfdc51a42de9c06bda,3,3,True,False,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_gsm8k_q4__8c1401380dbb3ea4,gsm8k::gsm8k-101,pb_gsm8k_q4,pb_source_v2:c06988738256b84343393720,3,5,True,True,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pb_gsm8k_q4__0df6d3188857f090,gsm8k::gsm8k-102,pb_gsm8k_q4,pb_source_v2:19e905ba9674592c7e35f398,2,3,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_gsm8k_q4__5d582a5caa99d7e1,gsm8k::gsm8k-103,pb_gsm8k_q4,pb_source_v2:a937db18df217fc94c419e70,3,7,True,False,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_gsm8k_q4__07a332163e07305a,gsm8k::gsm8k-104,pb_gsm8k_q4,pb_source_v2:147eedadf9e112a484cc8bfe,3,6,True,False,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_gsm8k_q4__eeb20bac3eafa1bb,gsm8k::gsm8k-105,pb_gsm8k_q4,pb_source_v2:154c8df41aba1614e0af88f0,2,4,True,False,3,2,2,3,3,2,2,3,2,2,3,3,2,3,2,2,3,3,2,2,2,3,2,2,3,3,2,2,2,2,3,2,2,3,2,3
pb_gsm8k_q4__cee97bc640547f88,gsm8k::gsm8k-106,pb_gsm8k_q4,pb_source_v2:4b7297b47da8c4f180a211eb,2,4,True,True,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pb_gsm8k_q4__3621aa2a2fdfebfe,gsm8k::gsm8k-107,pb_gsm8k_q4,pb_source_v2:67edeb0d4adcc8e0b94fa608,2,4,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_gsm8k_q4__b1fa623b75175413,gsm8k::gsm8k-108,pb_gsm8k_q4,pb_source_v2:c704b35d9e16b7ca4354ef59,2,10,True,True,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
pb_gsm8k_q4__e6c4900a8e8e98dc,gsm8k::gsm8k-109,pb_gsm8k_q4,pb_source_v2:8730001ccf1ee4a04e9c84b7,2,8,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_gsm8k_q4__d36129a3fb811957,gsm8k::gsm8k-11,pb_gsm8k_q4,pb_source_v2:f77641995f648ef82bb77237,3,6,True,True,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
pb_gsm8k_q4__62a76135925fa20f,gsm8k::gsm8k-110,pb_gsm8k_q4,pb_source_v2:d266c2c989b6d4b00f4b98e4,5,6,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_gsm8k_q4__f9225c1fad87c190,gsm8k::gsm8k-111,pb_gsm8k_q4,pb_source_v2:07a9dbda5f7e260cc46311ee,2,3,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
