method,pb_all8,pb_raw_exact,prm_within,prm_fold_auc,prm_pooled_oof_descriptive,prmscore_q08,valid_answers
q15_raw_equal,0.3662005249837687,0.3316073840612337,0.7534358509472404,0.7227075509858861,0.7223049757726236,0.6344124357811041,13769
q15_scale_equal,0.3663621300108675,0.3370103556956326,0.7490264166386905,0.7185370980518306,0.7180921307022957,0.6316677176766312,13769
q15_scale_natural,0.3662005249837687,0.3316073840612337,0.7534358509472404,0.7227075509858861,0.7223092355673879,0.6344124357811041,13769
q15_scale_simplex,0.36296512005245346,0.33115713642503375,0.7397283434730367,0.7114789935794421,0.7110216417221623,0.6259758624258756,13769
q15_scale_simplex_centered,0.36296512005245346,0.33115713642503375,0.7397283434730367,0.6999006651265491,0.6998514699640661,0.6163655404377922,13769
q50_raw_equal,0.35986356727620916,0.3291310220621342,0.7548426754260702,0.7260110259025797,0.7255799045799592,0.6359387375659447,13769
q50_scale_equal,0.36225818075578353,0.3284556506078343,0.7520296300901959,0.7239428735124303,0.7234611924430723,0.6357549494328744,13769
q50_scale_natural,0.35986356727620916,0.3291310220621342,0.7548426754260702,0.7260110259025797,0.7255765680534875,0.6359245871416274,13769
q50_scale_simplex,0.3614946813100196,0.3289058982440342,0.7497733463506149,0.7217978232689006,0.7212252261713166,0.6352402828076169,13769
q50_scale_simplex_centered,0.3614946813100196,0.3289058982440342,0.7497733463506149,0.7158010862466067,0.7156925235702185,0.6277016018610064,13769
ms8_raw_equal,0.3625241882143215,0.3304817649707339,0.7537475987667501,0.7248720585509787,0.7244433350400098,0.6364356401796243,13769
ms8_scale_equal,0.36674528935396067,0.33588473660513285,0.7516162136440815,0.7223705680514153,0.7219171716573606,0.6348132991840132,13769
ms8_scale_natural,0.3625241882143215,0.3304817649707339,0.7537475987667501,0.7248720585509787,0.7244478369112166,0.6364106664341201,13769
ms8_scale_simplex,0.3614946813100196,0.3289058982440342,0.7497733463506149,0.7217977783338476,0.7212252055291393,0.6352402828076169,13769
ms8_scale_simplex_centered,0.3614946813100196,0.3289058982440342,0.7497733463506149,0.7158010540393309,0.7156925132491299,0.6277016018610064,13769
reference_equal4_token_raw,0.36167404291580163,0.3266546600630347,0.7511151033886677,0.7218148308430292,0.7214074018302664,0.6348045135016531,13769
