arm_id,population_id,metric_id,value,ci_low,ci_high,n_rows,n_groups
P2C_F6_TOP10_REFERENCE,current_common_eight_qwen,official_macro_f1,0.35426115203948916,0.3355249144140112,0.37172070416794445,6800,3400
P2C_F6_TOP10_REFERENCE,current_common_eight_qwen,first_error_exact,0.2675758744010076,0.2476573613177328,0.2879438990389653,6800,3400
P2C_F6_TOP10_REFERENCE,current_common_eight_qwen,first_error_within_one,0.46134559765915417,0.4393418918373561,0.48326737850986085,6800,3400
P2C_F6_TOP10_REFERENCE,current_common_eight_qwen,clean_abstention_accuracy,0.5707389528608766,0.5436389144828917,0.5978541430469183,6800,3400
P2C_F6_TOP10_REFERENCE,current_common_eight_qwen,overall_decision_accuracy,0.36725,0.35081249999999997,0.3839375,6800,3400
P2C_F6_PLUS_C8_OUTER_EXPERT,current_common_eight_qwen,official_macro_f1,0.3649965053124179,0.346507151940202,0.38197450705202257,6800,3400
P2C_F6_PLUS_C8_OUTER_EXPERT,current_common_eight_qwen,first_error_exact,0.28200502470383415,0.2617497245203572,0.30278288531758896,6800,3400
P2C_F6_PLUS_C8_OUTER_EXPERT,current_common_eight_qwen,first_error_within_one,0.4777936377743982,0.45572893149990745,0.5001190269317234,6800,3400
P2C_F6_PLUS_C8_OUTER_EXPERT,current_common_eight_qwen,clean_abstention_accuracy,0.5482476528482073,0.5207981688346172,0.5759530824923557,6800,3400
P2C_F6_PLUS_C8_OUTER_EXPERT,current_common_eight_qwen,overall_decision_accuracy,0.36924999999999997,0.3526875,0.386,6800,3400
