arm_id,population_id,metric_id,value,ci_low,ci_high,n_rows,n_groups
P2C_F6_TOP10_REFERENCE,current_common_eight_qwen,official_macro_f1,0.35426115203948916,0.3355249144140112,0.37172070416794445,6800,3400
P2C_F6_TOP10_REFERENCE,current_common_eight_qwen,first_error_exact,0.2675758744010076,0.2476573613177328,0.2879438990389653,6800,3400
P2C_F6_TOP10_REFERENCE,current_common_eight_qwen,first_error_within_one,0.46134559765915417,0.4393418918373561,0.48326737850986085,6800,3400
P2C_F6_TOP10_REFERENCE,current_common_eight_qwen,clean_abstention_accuracy,0.5707389528608766,0.5436389144828917,0.5978541430469183,6800,3400
P2C_F6_TOP10_REFERENCE,current_common_eight_qwen,overall_decision_accuracy,0.36725,0.35081249999999997,0.3839375,6800,3400
P2C_F6_MINUS_PARTITION_ENERGY,current_common_eight_qwen,official_macro_f1,0.34362863690087475,0.32394826414112726,0.36144276054272945,6800,3400
P2C_F6_MINUS_PARTITION_ENERGY,current_common_eight_qwen,first_error_exact,0.24874572037549736,0.2291607849446892,0.26871156245219,6800,3400
P2C_F6_MINUS_PARTITION_ENERGY,current_common_eight_qwen,first_error_within_one,0.4400663628324287,0.4176592539890964,0.46210027677813054,6800,3400
P2C_F6_MINUS_PARTITION_ENERGY,current_common_eight_qwen,clean_abstention_accuracy,0.5962308430070333,0.5692275934133993,0.6231675855219999,6800,3400
P2C_F6_MINUS_PARTITION_ENERGY,current_common_eight_qwen,overall_decision_accuracy,0.36543749999999997,0.34875,0.382125,6800,3400
