uid,cell,group,fold,method,target,peak,gate_open,category
pb_gsm8k_q4__db269e0c124dd3e0,pb_gsm8k_q4,pb_source_v2:5f6c587679bc685623729580,1,entropy_H1,1,1,True,error_hit
pb_gsm8k_q4__4407513f3cdfc332,pb_gsm8k_q4,pb_source_v2:7d6d55556179eb619b39dfe0,4,entropy_H1,1,1,True,error_hit
pb_gsm8k_q4__aec26828eeb2c27e,pb_gsm8k_q4,pb_source_v2:6b5ff58f4bed030d2756fea6,0,entropy_H1,0,2,True,locator_only_miss
pb_gsm8k_q4__3695a29cb159ffbf,pb_gsm8k_q4,pb_source_v2:ae51d9dfdc51a42de9c06bda,4,entropy_H1,2,2,True,error_hit
pb_gsm8k_q4__8c1401380dbb3ea4,pb_gsm8k_q4,pb_source_v2:c06988738256b84343393720,2,entropy_H1,2,3,True,locator_only_miss
pb_gsm8k_q4__0df6d3188857f090,pb_gsm8k_q4,pb_source_v2:19e905ba9674592c7e35f398,4,entropy_H1,1,1,True,error_hit
pb_gsm8k_q4__5d582a5caa99d7e1,pb_gsm8k_q4,pb_source_v2:a937db18df217fc94c419e70,0,entropy_H1,2,2,True,error_hit
pb_gsm8k_q4__07a332163e07305a,pb_gsm8k_q4,pb_source_v2:147eedadf9e112a484cc8bfe,0,entropy_H1,2,2,True,error_hit
pb_gsm8k_q4__eeb20bac3eafa1bb,pb_gsm8k_q4,pb_source_v2:154c8df41aba1614e0af88f0,0,entropy_H1,1,2,True,locator_only_miss
pb_gsm8k_q4__cee97bc640547f88,pb_gsm8k_q4,pb_source_v2:4b7297b47da8c4f180a211eb,1,entropy_H1,1,3,True,locator_only_miss
pb_gsm8k_q4__3621aa2a2fdfebfe,pb_gsm8k_q4,pb_source_v2:67edeb0d4adcc8e0b94fa608,3,entropy_H1,1,1,True,error_hit
pb_gsm8k_q4__b1fa623b75175413,pb_gsm8k_q4,pb_source_v2:c704b35d9e16b7ca4354ef59,1,entropy_H1,1,7,True,locator_only_miss
pb_gsm8k_q4__e6c4900a8e8e98dc,pb_gsm8k_q4,pb_source_v2:8730001ccf1ee4a04e9c84b7,0,entropy_H1,1,1,True,error_hit
pb_gsm8k_q4__d36129a3fb811957,pb_gsm8k_q4,pb_source_v2:f77641995f648ef82bb77237,0,entropy_H1,2,0,True,locator_only_miss
pb_gsm8k_q4__62a76135925fa20f,pb_gsm8k_q4,pb_source_v2:d266c2c989b6d4b00f4b98e4,2,entropy_H1,4,0,False,both_miss
pb_gsm8k_q4__f9225c1fad87c190,pb_gsm8k_q4,pb_source_v2:07a9dbda5f7e260cc46311ee,3,entropy_H1,1,1,True,error_hit
pb_gsm8k_q4__763eb5a64b12fc00,pb_gsm8k_q4,pb_source_v2:be3a4585736b2276924fab4f,4,entropy_H1,2,2,True,error_hit
pb_gsm8k_q4__49adcd027725b73b,pb_gsm8k_q4,pb_source_v2:7a2c6c6b675e2d9776eabfcf,2,entropy_H1,3,1,True,locator_only_miss
pb_gsm8k_q4__f9ca998da91368f0,pb_gsm8k_q4,pb_source_v2:336b088daff70c602c2e1b5c,2,entropy_H1,1,2,True,locator_only_miss
pb_gsm8k_q4__37a1e47a86f393e8,pb_gsm8k_q4,pb_source_v2:270649c36e2edec1ceb7deb2,3,entropy_H1,0,0,False,gate_only_miss
pb_gsm8k_q4__4d1d5ede7f92bfab,pb_gsm8k_q4,pb_source_v2:d79a0a1e51f40426474865ed,0,entropy_H1,3,5,True,locator_only_miss
pb_gsm8k_q4__e62b6f46ac829483,pb_gsm8k_q4,pb_source_v2:dc1b264fc4aefafbed621c9e,4,entropy_H1,3,0,True,locator_only_miss
pb_gsm8k_q4__64ec5c9741a88152,pb_gsm8k_q4,pb_source_v2:13e140ab86daaa95907a1336,2,entropy_H1,1,2,True,locator_only_miss
pb_gsm8k_q4__2d34286049ea09cf,pb_gsm8k_q4,pb_source_v2:a12533abdf6ec82611c0e201,2,entropy_H1,1,5,True,locator_only_miss
pb_gsm8k_q4__d1bf7728e110be59,pb_gsm8k_q4,pb_source_v2:665c8666dc5aab37dc6a6b23,3,entropy_H1,1,1,True,error_hit
