source_id,population_id,cell_id,slice_id,metric_id,value,ci_low,ci_high,n_rows,n_groups,notes
panel::official_macro_f1,current_common_eight_qwen,aggregate,all,macro_f1,0.2777731912009317,0.2585103116168444,0.29542584859839494,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
panel::first_error_exact,current_common_eight_qwen,aggregate,all,first_error_exact,0.19196071748199617,0.1742317376310225,0.2102842641564947,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
panel::first_error_within_one,current_common_eight_qwen,aggregate,all,first_error_within_one,0.4229420374013546,0.40132042376949745,0.4449592979473594,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
panel::clean_abstention_accuracy,current_common_eight_qwen,aggregate,all,clean_abstention_accuracy,0.5422124870402371,0.5148875530965008,0.5693279842705983,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
panel::overall_decision_accuracy,current_common_eight_qwen,aggregate,all,overall_decision_accuracy,0.311125,0.29518750000000005,0.32718749999999996,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
cell::processbench_gsm8k_qwen3_4b::macro_f1,current_common_eight_qwen,processbench_gsm8k_qwen3_4b,gsm8k,macro_f1,0.2987207560216665,,,400,400,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_math_qwen3_4b::macro_f1,current_common_eight_qwen,processbench_math_qwen3_4b,math,macro_f1,0.27848934277392545,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_olympiadbench_qwen3_4b::macro_f1,current_common_eight_qwen,processbench_olympiadbench_qwen3_4b,olympiadbench,macro_f1,0.29673274596182087,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_omnimath_qwen3_4b::macro_f1,current_common_eight_qwen,processbench_omnimath_qwen3_4b,omnimath,macro_f1,0.2447536496350365,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_gsm8k_qwen3_8b::macro_f1,current_common_eight_qwen,processbench_gsm8k_qwen3_8b,gsm8k,macro_f1,0.31703059879599615,,,400,400,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_math_qwen3_8b::macro_f1,current_common_eight_qwen,processbench_math_qwen3_8b,math,macro_f1,0.27026173285198557,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_olympiadbench_qwen3_8b::macro_f1,current_common_eight_qwen,processbench_olympiadbench_qwen3_8b,olympiadbench,macro_f1,0.2950019855902876,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_omnimath_qwen3_8b::macro_f1,current_common_eight_qwen,processbench_omnimath_qwen3_8b,omnimath,macro_f1,0.2211947179767346,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
length::short::macro_f1,current_common_eight_qwen_step_length,short,short,macro_f1,0.26861435015751545,,,1498,1498,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::short::first_error_exact,current_common_eight_qwen_step_length,short,short,first_error_exact,0.1825168697719385,,,1498,1498,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::short::first_error_within_one,current_common_eight_qwen_step_length,short,short,first_error_within_one,0.3855399194082051,,,1498,1498,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::short::clean_abstention_accuracy,current_common_eight_qwen_step_length,short,short,clean_abstention_accuracy,0.5422124870402371,,,1498,1498,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::medium::macro_f1,current_common_eight_qwen_step_length,medium,medium,macro_f1,0.28182797577746976,,,1468,1468,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::medium::first_error_exact,current_common_eight_qwen_step_length,medium,medium,first_error_exact,0.19359902478734714,,,1468,1468,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::medium::first_error_within_one,current_common_eight_qwen_step_length,medium,medium,first_error_within_one,0.419696079687856,,,1468,1468,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::medium::clean_abstention_accuracy,current_common_eight_qwen_step_length,medium,medium,clean_abstention_accuracy,0.5422124870402371,,,1468,1468,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::long::macro_f1,current_common_eight_qwen_step_length,long,long,macro_f1,0.30004359949990955,,,1476,1476,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::long::first_error_exact,current_common_eight_qwen_step_length,long,long,first_error_exact,0.22539452644887542,,,1476,1476,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::long::first_error_within_one,current_common_eight_qwen_step_length,long,long,first_error_within_one,0.5142310739057595,,,1476,1476,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::long::clean_abstention_accuracy,current_common_eight_qwen_step_length,long,long,clean_abstention_accuracy,0.5422124870402371,,,1476,1476,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
selected::all::selected_step_length_mean,current_common_eight_qwen_selected_length,all,all,selected_step_length_mean,84.89839349050699,,,6800,6800,descriptive candidate selected-step length bias audit
selected::all::selected_step_length_median,current_common_eight_qwen_selected_length,all,all,selected_step_length_median,74.0,,,6800,6800,descriptive candidate selected-step length bias audit
selected::all::selected_step_length_q90,current_common_eight_qwen_selected_length,all,all,selected_step_length_q90,160.0,,,6800,6800,descriptive candidate selected-step length bias audit
selected::error::selected_step_length_mean,current_common_eight_qwen_selected_length,error,error,selected_step_length_mean,88.3124495832213,,,4442,4442,descriptive candidate selected-step length bias audit
selected::error::selected_step_length_median,current_common_eight_qwen_selected_length,error,error,selected_step_length_median,78.0,,,4442,4442,descriptive candidate selected-step length bias audit
selected::error::selected_step_length_q90,current_common_eight_qwen_selected_length,error,error,selected_step_length_q90,163.0,,,4442,4442,descriptive candidate selected-step length bias audit
selected::clean::selected_step_length_mean,current_common_eight_qwen_selected_length,clean,clean,selected_step_length_mean,73.07635009310987,,,2358,2358,descriptive candidate selected-step length bias audit
selected::clean::selected_step_length_median,current_common_eight_qwen_selected_length,clean,clean,selected_step_length_median,63.0,,,2358,2358,descriptive candidate selected-step length bias audit
selected::clean::selected_step_length_q90,current_common_eight_qwen_selected_length,clean,clean,selected_step_length_q90,142.0,,,2358,2358,descriptive candidate selected-step length bias audit
flip::processbench_gsm8k_qwen3_4b::FLIP_GAIN,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_4b,FLIP_GAIN,prediction_flip_count,13,,,13,13,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_gsm8k_qwen3_4b::FLIP_LATERAL,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_4b,FLIP_LATERAL,prediction_flip_count,92,,,92,92,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_gsm8k_qwen3_4b::FLIP_LOSS,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_4b,FLIP_LOSS,prediction_flip_count,42,,,42,42,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_gsm8k_qwen3_4b::NO_FLIP_CORRECT,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_4b,NO_FLIP_CORRECT,prediction_flip_count,116,,,116,116,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_gsm8k_qwen3_4b::NO_FLIP_INCORRECT,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_4b,NO_FLIP_INCORRECT,prediction_flip_count,137,,,137,137,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_gsm8k_qwen3_8b::FLIP_GAIN,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_8b,FLIP_GAIN,prediction_flip_count,15,,,15,15,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_gsm8k_qwen3_8b::FLIP_LATERAL,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_8b,FLIP_LATERAL,prediction_flip_count,78,,,78,78,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_gsm8k_qwen3_8b::FLIP_LOSS,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_8b,FLIP_LOSS,prediction_flip_count,38,,,38,38,exact deterministic candidate-versus-top-five prediction transition count
