method,display_method,n_cells,macro_auroc,macro_auroc_ci_low,macro_auroc_ci_high,macro_auprc,macro_auprc_ci_low,macro_auprc_ci_high,label_use
upcr,Depth-tail organic hybrid · deployed U-PCR,13,0.7803345775740254,0.7702915490845672,0.7903855061021893,0.6477070675637479,0.6330830888526697,0.6656597962067905,none
dufs_liu_pcr,Depth-tail organic hybrid · DUFS-LIU-PCR,13,0.7799038774393877,0.7699747269618948,0.7900281020799244,0.6467646634836933,0.631868633477074,0.6646742377969013,none
iu_pcr,Depth-tail organic hybrid · IU-PCR,13,0.7798831764197309,0.7699102878962443,0.7901482884641315,0.6465621380836839,0.6316499437846128,0.6645455828746568,none
equal_mean,Depth-tail organic hybrid · equal mean,13,0.7765459315291973,0.7664894965805705,0.7865368193511209,0.6412339372744167,0.6265840390854452,0.6591124562630877,none
best_single_layer,Best single module/metric/layer · evaluation oracle,13,0.7750873559328337,0.7649896335300963,0.7852869566633324,0.6422253449834812,0.6275477990969404,0.6606043812316291,evaluation-only
trilens_supervised_lr,TriLens · grouped L2 probe,13,0.7689325299729851,nan,nan,0.6455426487561878,nan,nan,supervised
dola_kl_supervised_lr,DoLa KL trajectory · grouped L2 probe,13,0.7678391095586053,nan,nan,0.6368137178711388,nan,nan,5-fold grouped supervised; source-benchmark approximation
generation_entropy_mean,Generation entropy · output baseline,13,0.7398721745791298,0.7285352724301019,0.75001979464306,0.6153916900485339,0.5990742181445675,0.6340247978410124,none; source-benchmark proxy
final_layer_nll,Final-layer target NLL · output baseline,13,0.7297783951728509,0.7188947424732189,0.7396338270893231,0.5892256809639554,0.5746358909370622,0.6068440959048194,none; source-benchmark proxy
dola_kl_equal_mean,DoLa KL trajectory · equal mean proxy,13,0.6981011436659983,0.6864161840549037,0.7094455864362256,0.5836016862729868,0.5676456149881087,0.6021189179859198,none; source-benchmark proxy
spilled_energy_eq8_mean_proxy,Spilled Energy Eq. 8 · mean proxy,13,0.659604973129012,0.6480549312899975,0.6705439610810205,0.5421727317868856,0.5278794226721583,0.5593177065753321,none; source-benchmark proxy
haloscope_direct_proxy,HaloScope · direct projection proxy,13,0.557404795598178,0.5448185242745639,0.5701966726548009,0.426477718783078,0.41368577183250166,0.44403438476523693,none; source-benchmark proxy
