world,method,n,n_expected,completion,mean_auc,sd_auc,ci95_low,ci95_high
clean,iu_pcr,40,40,1.0,0.6660499055384697,0.0068853480113916675,0.663909788728622,0.6681668892543399
clean,iu_pcr_fixed,40,40,1.0,0.6667532724991871,0.006882692664340033,0.6646516373958761,0.6688432296862453
clean,lsml_full,40,40,1.0,0.6660730291244142,0.007140059380352854,0.6638952849139687,0.6682802592301814
clean,mean_signrho,40,40,1.0,0.6404346044503033,0.07423570623114396,0.6153023560466998,0.6606963747969942
clean,oracle_linear,40,40,1.0,0.6668638621825739,0.006875594161364771,0.6647403460166852,0.6690030978410324
clean,oracle_pcr2,40,40,1.0,0.6668114668890448,0.00684408788716776,0.664724889255492,0.6689882996540208
clean,pcr_structured,40,40,1.0,0.6667508164770574,0.006865384072945866,0.6646428477522174,0.6689093442942983
clean,pcr_structured_fixed,40,40,1.0,0.6667530820740432,0.006885543973361374,0.6646455810070442,0.66893045946261
clean,ridge_observed,40,40,1.0,0.6665392345146917,0.006693923759472448,0.6644658589645974,0.6686035572548971
clean,sdsf,40,40,1.0,0.6665409181847044,0.006690752859649376,0.6645188506205811,0.6686179021392659
clean,sdsf_fixed,40,40,1.0,0.6667436584759667,0.006881512410054516,0.6646483512225031,0.6689304297859189
clean,su_pcr_fixed,40,40,1.0,0.666755056214738,0.006883076410283102,0.6646023165606517,0.6689326744902843
clean,su_pcr_reproduction,40,40,1.0,0.6667484721535187,0.006849762519605195,0.6646152189219637,0.6689510987383479
clean,upcr_signrho,40,40,1.0,0.6649191288858025,0.008048917921836296,0.6623470120256569,0.6673919020603707
sparse_small,iu_pcr,40,40,1.0,0.6553328516541639,0.017113496757999624,0.6496225111605031,0.6602933088452417
sparse_small,iu_pcr_fixed,40,40,1.0,0.6638893915540861,0.006788867728349331,0.6617370703218495,0.6660150593405249
sparse_small,lsml_full,40,40,1.0,0.6511353465867245,0.007270327684824157,0.6489412282617696,0.6533727566265625
sparse_small,mean_signrho,40,40,1.0,0.6196274437485594,0.0656606365647928,0.5983914024799344,0.6380927428139637
