contrast_id,primary,endpoint,paired_N,delta,ci95_lo,ci95_hi,ci_adj_lo,ci_adj_hi,family_K,B,invalid_draw_rate,units,legacy_paired_N,paired_groups,valid_draws
H_RAW - BASE,True,pb_sla_macro8,4442,-0.09229816251045614,-0.11001840210967857,-0.07470796276691873,-0.11621209131413186,-0.06856362306316044,6.0,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_RAW - BASE,True,prm_within_auc,6030,-0.04422833832478734,-0.0501480695493066,-0.03833138026742945,-0.05220808511038617,-0.03625763103472638,6.0,100000,0.0,AUC,100000,707,100000
H_RAW - H_MEAN,True,pb_sla_macro8,4442,0.01485889835228782,-0.003944417940106823,0.03380121339813561,-0.010571058885809916,0.04053215374543975,6.0,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_RAW - H_MEAN,True,prm_within_auc,6030,0.05495544373118777,0.04881847433166656,0.061101429071525104,0.04670889710845323,0.06333061773108659,6.0,100000,0.0,AUC,100000,707,100000
H_RAW - ct7,True,pb_sla_macro8,4442,-0.1662653221021635,-0.18806067181440808,-0.14454557909465063,-0.19552487406423183,-0.13705081315512846,6.0,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_RAW - ct7,True,prm_within_auc,6030,-0.06031202041408479,-0.06624758557178978,-0.05438432077776568,-0.06829268875407646,-0.052228916524711885,6.0,100000,0.0,AUC,100000,707,100000
H_RAW - H_RANDATT,False,pb_sla_macro8,4442,0.020379278987777305,0.001451636255889723,0.0393929954762668,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_RAW - H_RANDATT,False,prm_within_auc,6030,0.06412840729186675,0.05775991137241854,0.0705252419870538,,,,100000,0.0,AUC,100000,707,100000
H_RAW - H_TOP5,False,pb_sla_macro8,4442,-0.09515307263695738,-0.11348116229872995,-0.07680187779244871,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_RAW - H_TOP5,False,prm_within_auc,6030,-0.043151924965759036,-0.049088052275844486,-0.037232001198963166,,,,100000,0.0,AUC,100000,707,100000
H_MEAN - BASE,False,pb_sla_macro8,4442,-0.10715706086274396,-0.12856548458637973,-0.08604576700412772,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_MEAN - BASE,False,prm_within_auc,6030,-0.09918378205597511,-0.10704152289845326,-0.09130757380763414,,,,100000,0.0,AUC,100000,707,100000
H_TOP5 - BASE,False,pb_sla_macro8,4442,0.002854910126501242,-0.006105004869816675,0.01185866189151362,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_TOP5 - BASE,False,prm_within_auc,6030,-0.0010764133590283054,-0.0019666476028532636,-0.00017949366393710063,,,,100000,0.0,AUC,100000,707,100000
H_RANDATT - BASE,False,pb_sla_macro8,4442,-0.11267744149823344,-0.13429873808251505,-0.09133796174158669,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_RANDATT - BASE,False,prm_within_auc,6030,-0.1083567456166541,-0.1163344744279814,-0.10037733598912076,,,,100000,0.0,AUC,100000,707,100000
H_MEAN - H_TOP5,False,pb_sla_macro8,4442,-0.1100119709892452,-0.13221548680506484,-0.08798100490276838,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_MEAN - H_TOP5,False,prm_within_auc,6030,-0.0981073686969468,-0.10599753270653664,-0.09020288461642838,,,,100000,0.0,AUC,100000,707,100000
BASE - ct7,False,pb_sla_macro8,4442,-0.07396715959170735,-0.0908188455434515,-0.05718715551317212,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
BASE - ct7,False,prm_within_auc,6030,-0.016083682089297446,-0.02015324413907055,-0.011993961184243403,,,,100000,0.0,AUC,100000,707,100000
BASE - token_lsml,False,pb_sla_macro8,4442,-0.03434202801104075,-0.04937707921202963,-0.01950411288081577,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
BASE - token_lsml,False,prm_within_auc,6030,0.003149117102667409,-0.0010294411489346622,0.007309523127491757,,,,100000,0.0,AUC,100000,707,100000
BASE - token_equal,False,pb_sla_macro8,4442,-0.0010313565615150955,-0.017823884138088022,0.01571593030436732,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
BASE - token_equal,False,prm_within_auc,6030,0.025208407701973967,0.02093323085501352,0.029498925923241787,,,,100000,0.0,AUC,100000,707,100000
BASE - evidence30__all__plain__equal,False,pb_sla_macro8,4442,-0.024603965170794106,-0.04075421959095882,-0.008532769841156718,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
BASE - evidence30__all__plain__equal,False,prm_within_auc,6030,0.04453370708304838,0.0378572576361495,0.051223420830190984,,,,100000,0.0,AUC,100000,707,100000
BASE - evidence__all__position__equal,False,pb_sla_macro8,4442,0.029705394403151397,0.011725327284485531,0.04773140915086102,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
BASE - evidence__all__position__equal,False,prm_within_auc,6030,-0.011111590973441277,-0.014701223595400381,-0.007545940426548008,,,,100000,0.0,AUC,100000,707,100000
BASE - evidence__all__position2__equal,False,pb_sla_macro8,4442,0.044284188992470275,0.026547822408798872,0.06210719112655728,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
BASE - evidence__all__position2__equal,False,prm_within_auc,6030,-0.01324244321549295,-0.017457035557226754,-0.009071121777422985,,,,100000,0.0,AUC,100000,707,100000
H_TOP5 - ct7,False,pb_sla_macro8,4442,-0.07111224946520611,-0.0879892811314786,-0.054419837339610984,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_TOP5 - ct7,False,prm_within_auc,6030,-0.01716009544832575,-0.02128278632216487,-0.013039282284021448,,,,100000,0.0,AUC,100000,707,100000
H_TOP5 - token_lsml,False,pb_sla_macro8,4442,-0.031487117884539506,-0.04630042190765748,-0.016771998683848734,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_TOP5 - token_lsml,False,prm_within_auc,6030,0.002072703743639104,-0.0021172170871302685,0.006244343359099893,,,,100000,0.0,AUC,100000,707,100000
H_TOP5 - token_equal,False,pb_sla_macro8,4442,0.0018235535649861467,-0.014924249968545095,0.018499664315802952,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_TOP5 - token_equal,False,prm_within_auc,6030,0.024131994342945662,0.019855248564916692,0.028421272315309234,,,,100000,0.0,AUC,100000,707,100000
H_TOP5 - evidence30__all__plain__equal,False,pb_sla_macro8,4442,-0.021749055044292864,-0.037546064304772905,-0.005992111562081611,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_TOP5 - evidence30__all__plain__equal,False,prm_within_auc,6030,0.043457293724020074,0.036812265292961825,0.05016857643991688,,,,100000,0.0,AUC,100000,707,100000
H_TOP5 - evidence__all__position__equal,False,pb_sla_macro8,4442,0.03256030452965264,0.014845798799577306,0.050237719231228946,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_TOP5 - evidence__all__position__equal,False,prm_within_auc,6030,-0.012188004332469582,-0.015826112019203253,-0.008549156934414895,,,,100000,0.0,AUC,100000,707,100000
H_TOP5 - evidence__all__position2__equal,False,pb_sla_macro8,4442,0.04713909911897152,0.029366622193633743,0.06516700197900133,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_TOP5 - evidence__all__position2__equal,False,prm_within_auc,6030,-0.014318856574521255,-0.01859130760638522,-0.010092501782513936,,,,100000,0.0,AUC,100000,707,100000
H_MEAN - ct7,False,pb_sla_macro8,4442,-0.1811242204544513,-0.20430491842790435,-0.1581649577756001,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_MEAN - ct7,False,prm_within_auc,6030,-0.11526746414527256,-0.12274906807964546,-0.10778562612442706,,,,100000,0.0,AUC,100000,707,100000
H_MEAN - token_lsml,False,pb_sla_macro8,4442,-0.1414990888737847,-0.16464655320398086,-0.11851820284989312,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_MEAN - token_lsml,False,prm_within_auc,6030,-0.0960346649533077,-0.10239803811469504,-0.08973039740730487,,,,100000,0.0,AUC,100000,707,100000
H_MEAN - token_equal,False,pb_sla_macro8,4442,-0.10818841742425905,-0.13142075238086212,-0.08500071064166553,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_MEAN - token_equal,False,prm_within_auc,6030,-0.07397537435400114,-0.08015116616754814,-0.0678257147321147,,,,100000,0.0,AUC,100000,707,100000
H_MEAN - evidence30__all__plain__equal,False,pb_sla_macro8,4442,-0.13176102603353806,-0.156575769919458,-0.10704752976926636,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_MEAN - evidence30__all__plain__equal,False,prm_within_auc,6030,-0.05465007497292673,-0.06062044633641061,-0.048634449130110856,,,,100000,0.0,AUC,100000,707,100000
H_MEAN - evidence__all__position__equal,False,pb_sla_macro8,4442,-0.07745166645959256,-0.10076428038725659,-0.05421367155893889,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_MEAN - evidence__all__position__equal,False,prm_within_auc,6030,-0.11029537302941639,-0.11722153175953093,-0.10343236951486329,,,,100000,0.0,AUC,100000,707,100000
H_MEAN - evidence__all__position2__equal,False,pb_sla_macro8,4442,-0.06287287187027368,-0.08581833655174051,-0.040060630588101664,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_MEAN - evidence__all__position2__equal,False,prm_within_auc,6030,-0.11242622527146806,-0.11914192143357336,-0.10576780474785795,,,,100000,0.0,AUC,100000,707,100000
H_RANDATT - ct7,False,pb_sla_macro8,4442,-0.1866446010899408,-0.21012024733589726,-0.16332057731989755,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_RANDATT - ct7,False,prm_within_auc,6030,-0.12444042770595154,-0.1321355447671716,-0.11678552626063142,,,,100000,0.0,AUC,100000,707,100000
H_RANDATT - token_lsml,False,pb_sla_macro8,4442,-0.1470194695092742,-0.17048398411938326,-0.12379391336605894,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_RANDATT - token_lsml,False,prm_within_auc,6030,-0.10520762851398668,-0.11174809925611028,-0.09869638337111764,,,,100000,0.0,AUC,100000,707,100000
H_RANDATT - token_equal,False,pb_sla_macro8,4442,-0.11370879805974854,-0.13723510880649342,-0.09039861982392258,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_RANDATT - token_equal,False,prm_within_auc,6030,-0.08314833791468013,-0.08955528500341228,-0.07676283343695338,,,,100000,0.0,AUC,100000,707,100000
H_RANDATT - evidence30__all__plain__equal,False,pb_sla_macro8,4442,-0.13728140666902755,-0.16234936079531004,-0.11231858951821333,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_RANDATT - evidence30__all__plain__equal,False,prm_within_auc,6030,-0.06382303853360571,-0.07005751271138275,-0.05756895715888785,,,,100000,0.0,AUC,100000,707,100000
H_RANDATT - evidence__all__position__equal,False,pb_sla_macro8,4442,-0.08297204709508205,-0.10630716644378203,-0.05985324426477133,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_RANDATT - evidence__all__position__equal,False,prm_within_auc,6030,-0.11946833659009537,-0.12661648693459415,-0.11237492026614303,,,,100000,0.0,AUC,100000,707,100000
H_RANDATT - evidence__all__position2__equal,False,pb_sla_macro8,4442,-0.06839325250576317,-0.09131815639372672,-0.0456285129738105,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_RANDATT - evidence__all__position2__equal,False,prm_within_auc,6030,-0.12159918883214704,-0.12847109070553586,-0.11475897995301201,,,,100000,0.0,AUC,100000,707,100000
H_RAW - token_lsml,False,pb_sla_macro8,4442,-0.1266401905214969,-0.14685020099444038,-0.10647146577983026,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_RAW - token_lsml,False,prm_within_auc,6030,-0.04107922122211993,-0.04627355979833944,-0.03588549661859233,,,,100000,0.0,AUC,100000,707,100000
H_RAW - token_equal,False,pb_sla_macro8,4442,-0.09332951907197123,-0.11370835452730205,-0.07304249925546712,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_RAW - token_equal,False,prm_within_auc,6030,-0.019019930622813375,-0.024496169376149797,-0.01356955390063104,,,,100000,0.0,AUC,100000,707,100000
H_RAW - evidence30__all__plain__equal,False,pb_sla_macro8,4442,-0.11690212768125025,-0.13865542336048173,-0.09518803306925863,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_RAW - evidence30__all__plain__equal,False,prm_within_auc,6030,0.0003053687582610376,-0.005439465851227454,0.006075074086148042,,,,100000,0.0,AUC,100000,707,100000
H_RAW - evidence__all__position__equal,False,pb_sla_macro8,4442,-0.06259276810730474,-0.08226314042870778,-0.04303614841973631,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_RAW - evidence__all__position__equal,False,prm_within_auc,6030,-0.05533992929822862,-0.06035255696388171,-0.050352372092898445,,,,100000,0.0,AUC,100000,707,100000
H_RAW - evidence__all__position2__equal,False,pb_sla_macro8,4442,-0.048013973517985864,-0.06765776149622717,-0.02834071122867347,,,,100000,0.0,fraction (x100 = pp),100000,1979,100000
H_RAW - evidence__all__position2__equal,False,prm_within_auc,6030,-0.05747078154028029,-0.06246409625757118,-0.05250676484147392,,,,100000,0.0,AUC,100000,707,100000
