method,display_method,n_cells,macro_auroc,macro_auroc_ci_low,macro_auroc_ci_high,macro_auprc,macro_auprc_ci_low,macro_auprc_ci_high,label_use
upcr,Distributed-depth hybrid · deployed U-PCR,13,0.7855376858235089,0.775763924618347,0.7952644933676298,0.6527554914301249,0.6377786059921228,0.6709220667641589,none
best_single_layer,Strongest atomic internal layer/view · evaluation oracle,13,0.7841861699269465,0.7742311692024629,0.7941777986889518,0.648765119209901,0.6334680231392568,0.6668976074552662,evaluation-only
dufs_liu_pcr,Distributed-depth hybrid · DUFS-LIU-PCR,13,0.784000906672265,0.7739873352477356,0.793761206557097,0.6512021293570214,0.6362452053102465,0.6696610668976822,none
iu_pcr,Distributed-depth hybrid · IU-PCR,13,0.7837440688915837,0.7738283619290609,0.7935162326912495,0.6509353379727418,0.6360138070221207,0.6692277517657379,none
equal_mean,Distributed-depth hybrid · equal mean,13,0.7804829486771028,0.7704276637877252,0.7902981529933667,0.647326851300281,0.6328590670099407,0.6655176603783801,none
trilens_supervised_lr,TriLens · grouped L2 probe,13,0.7689325299729851,nan,nan,0.6455426487561878,nan,nan,supervised
dola_kl_supervised_lr,DoLa KL trajectory · grouped L2 probe,13,0.7678391095586053,nan,nan,0.6368137178711388,nan,nan,5-fold grouped supervised; source-benchmark approximation
generation_entropy_mean,Generation entropy · output baseline,13,0.7398721745791298,0.7285352724301019,0.75001979464306,0.6153916900485339,0.5990742181445675,0.6340247978410124,none; source-benchmark proxy
final_layer_nll,Final-layer target NLL · output baseline,13,0.7297783951728509,0.7188947424732189,0.7396338270893231,0.5892256809639554,0.5746358909370622,0.6068440959048194,none; source-benchmark proxy
dola_kl_equal_mean,DoLa KL trajectory · equal mean proxy,13,0.6981011436659983,0.6864161840549037,0.7094455864362256,0.5836016862729868,0.5676456149881087,0.6021189179859198,none; source-benchmark proxy
spilled_energy_eq8_mean_proxy,Spilled Energy Eq. 8 · mean proxy,13,0.659604973129012,0.6480549312899975,0.6705439610810205,0.5421727317868856,0.5278794226721583,0.5593177065753321,none; source-benchmark proxy
haloscope_direct_proxy,HaloScope · direct projection proxy,13,0.557404795598178,0.5448185242745639,0.5701966726548009,0.426477718783078,0.41368577183250166,0.44403438476523693,none; source-benchmark proxy
