contrast_id,left,right,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell_delta,interval
P2E_H2_CLEAN_C7_LLAMA4__vs__P2E_H0_FAMILY6_TOP10_LLAMA4__official_macro_f1,P2E_H2_CLEAN_C7_LLAMA4,P2E_H0_FAMILY6_TOP10_LLAMA4,official_macro_f1,0.006674464636105881,-0.007090624878183999,0.020942814892941326,2,0,2,-0.010019432889216362,Bonferroni simultaneous across three primary contrasts
P2E_H2_CLEAN_C7_LLAMA4__vs__P2E_H0_FAMILY6_TOP10_LLAMA4__first_error_exact,P2E_H2_CLEAN_C7_LLAMA4,P2E_H0_FAMILY6_TOP10_LLAMA4,first_error_exact,0.008490482673209732,-0.003328845706259259,0.02085739569269716,2,0,2,-0.01010101010101011,unadjusted paired diagnostic
P2E_H2_CLEAN_C7_LLAMA4__vs__P2E_H0_FAMILY6_TOP10_LLAMA4__first_error_within_one,P2E_H2_CLEAN_C7_LLAMA4,P2E_H0_FAMILY6_TOP10_LLAMA4,first_error_within_one,0.009460768973694078,-0.004346432015062365,0.02355759222286889,2,1,1,-0.005050505050505083,unadjusted paired diagnostic
P2E_H2_CLEAN_C7_LLAMA4__vs__P2E_H0_FAMILY6_TOP10_LLAMA4__clean_abstention_accuracy,P2E_H2_CLEAN_C7_LLAMA4,P2E_H0_FAMILY6_TOP10_LLAMA4,clean_abstention_accuracy,0.0,0.0,0.0,0,4,0,0.0,unadjusted paired diagnostic
P2E_H2_CLEAN_C7_LLAMA4__vs__P2E_H0_FAMILY6_TOP10_LLAMA4__overall_decision_accuracy,P2E_H2_CLEAN_C7_LLAMA4,P2E_H0_FAMILY6_TOP10_LLAMA4,overall_decision_accuracy,0.0047499999999999765,-0.0024999999999999467,0.012249999999999983,2,0,2,-0.006000000000000005,unadjusted paired diagnostic
P2E_H3_EQUAL_C8_RERANK_LLAMA4__vs__P2E_H0_FAMILY6_TOP10_LLAMA4__official_macro_f1,P2E_H3_EQUAL_C8_RERANK_LLAMA4,P2E_H0_FAMILY6_TOP10_LLAMA4,official_macro_f1,0.004371881377572884,-0.009677021874356245,0.0184524462729739,2,0,2,-0.021595411922775698,Bonferroni simultaneous across three primary contrasts
P2E_H3_EQUAL_C8_RERANK_LLAMA4__vs__P2E_H0_FAMILY6_TOP10_LLAMA4__first_error_exact,P2E_H3_EQUAL_C8_RERANK_LLAMA4,P2E_H0_FAMILY6_TOP10_LLAMA4,first_error_exact,0.005849041623230911,-0.006212664781433354,0.017985035148122844,2,0,2,-0.021180030257186067,unadjusted paired diagnostic
P2E_H3_EQUAL_C8_RERANK_LLAMA4__vs__P2E_H0_FAMILY6_TOP10_LLAMA4__first_error_within_one,P2E_H3_EQUAL_C8_RERANK_LLAMA4,P2E_H0_FAMILY6_TOP10_LLAMA4,first_error_within_one,0.013803567699180397,0.0008108506868507602,0.027029865155779,4,0,0,0.0016835016835016758,unadjusted paired diagnostic
P2E_H3_EQUAL_C8_RERANK_LLAMA4__vs__P2E_H0_FAMILY6_TOP10_LLAMA4__clean_abstention_accuracy,P2E_H3_EQUAL_C8_RERANK_LLAMA4,P2E_H0_FAMILY6_TOP10_LLAMA4,clean_abstention_accuracy,0.0,0.0,0.0,0,4,0,0.0,unadjusted paired diagnostic
P2E_H3_EQUAL_C8_RERANK_LLAMA4__vs__P2E_H0_FAMILY6_TOP10_LLAMA4__overall_decision_accuracy,P2E_H3_EQUAL_C8_RERANK_LLAMA4,P2E_H0_FAMILY6_TOP10_LLAMA4,overall_decision_accuracy,0.003124999999999989,-0.004125000000000045,0.01050000000000001,2,0,2,-0.013999999999999957,unadjusted paired diagnostic
P2E_H3_EQUAL_C8_RERANK_LLAMA4__vs__P2E_H2_CLEAN_C7_LLAMA4__official_macro_f1,P2E_H3_EQUAL_C8_RERANK_LLAMA4,P2E_H2_CLEAN_C7_LLAMA4,official_macro_f1,-0.0023025832585329975,-0.011661874608934803,0.007000864142496337,2,0,2,-0.012481166871475713,Bonferroni simultaneous across three primary contrasts
P2E_H3_EQUAL_C8_RERANK_LLAMA4__vs__P2E_H2_CLEAN_C7_LLAMA4__first_error_exact,P2E_H3_EQUAL_C8_RERANK_LLAMA4,P2E_H2_CLEAN_C7_LLAMA4,first_error_exact,-0.002641441049978821,-0.010847568077634394,0.005381136195021942,2,0,2,-0.012102874432677768,unadjusted paired diagnostic
P2E_H3_EQUAL_C8_RERANK_LLAMA4__vs__P2E_H2_CLEAN_C7_LLAMA4__first_error_within_one,P2E_H3_EQUAL_C8_RERANK_LLAMA4,P2E_H2_CLEAN_C7_LLAMA4,first_error_within_one,0.004342798725486319,-0.003743919646164127,0.012447887196266147,3,0,1,-0.006051437216338884,unadjusted paired diagnostic
P2E_H3_EQUAL_C8_RERANK_LLAMA4__vs__P2E_H2_CLEAN_C7_LLAMA4__clean_abstention_accuracy,P2E_H3_EQUAL_C8_RERANK_LLAMA4,P2E_H2_CLEAN_C7_LLAMA4,clean_abstention_accuracy,0.0,0.0,0.0,0,4,0,0.0,unadjusted paired diagnostic
P2E_H3_EQUAL_C8_RERANK_LLAMA4__vs__P2E_H2_CLEAN_C7_LLAMA4__overall_decision_accuracy,P2E_H3_EQUAL_C8_RERANK_LLAMA4,P2E_H2_CLEAN_C7_LLAMA4,overall_decision_accuracy,-0.0016249999999999876,-0.006624999999999992,0.0032500000000000306,2,0,2,-0.008000000000000007,unadjusted paired diagnostic
