cell,fold,method,coefficient,value
pb_gsm8k_q4,0,unsupervised_update,0,0.0
pb_gsm8k_q4,0,unsupervised_update,1,0.0
pb_gsm8k_q4,0,unsupervised_update,2,0.0
pb_gsm8k_q4,0,unsupervised_update,3,0.0
pb_gsm8k_q4,0,unsupervised_update,4,0.0
pb_gsm8k_q4,0,unsupervised_update,5,0.0
pb_gsm8k_q4,0,unsupervised_update,6,0.0
pb_gsm8k_q4,0,unsupervised_update,7,0.0
pb_gsm8k_q4,0,unsupervised_update,8,0.0
pb_gsm8k_q4,0,unsupervised_update,9,0.0
pb_gsm8k_q4,0,unsupervised_update,10,0.0
pb_gsm8k_q4,0,unsupervised_update,11,0.0
pb_gsm8k_q4,0,unsupervised_update,12,0.0
pb_gsm8k_q4,0,supervised_update,0,-1.1309928285037327
pb_gsm8k_q4,0,supervised_update,1,-1.2394260811520856
pb_gsm8k_q4,0,supervised_update,2,-2.3222472622078776
pb_gsm8k_q4,0,supervised_update,3,-1.4477911142516546
pb_gsm8k_q4,0,supervised_update,4,-0.6181660891873771
pb_gsm8k_q4,0,supervised_update,5,-0.4149919671943915
pb_gsm8k_q4,0,supervised_update,6,-1.9596209744956377
pb_gsm8k_q4,0,supervised_update,7,-0.36588130368136323
pb_gsm8k_q4,0,supervised_update,8,-1.2469202550925778
pb_gsm8k_q4,0,supervised_update,9,-0.35380460532353025
pb_gsm8k_q4,0,supervised_update,10,-0.39795836226857123
pb_gsm8k_q4,0,supervised_update,11,-0.3510404983649426
pb_gsm8k_q4,0,supervised_update,12,2.755963458990851
pb_gsm8k_q4,1,unsupervised_update,0,0.0
pb_gsm8k_q4,1,unsupervised_update,1,0.0
pb_gsm8k_q4,1,unsupervised_update,2,0.0
pb_gsm8k_q4,1,unsupervised_update,3,0.0
pb_gsm8k_q4,1,unsupervised_update,4,0.0
pb_gsm8k_q4,1,unsupervised_update,5,0.0
pb_gsm8k_q4,1,unsupervised_update,6,0.0
pb_gsm8k_q4,1,unsupervised_update,7,0.0
pb_gsm8k_q4,1,unsupervised_update,8,0.0
pb_gsm8k_q4,1,unsupervised_update,9,0.0
pb_gsm8k_q4,1,unsupervised_update,10,0.0
pb_gsm8k_q4,1,unsupervised_update,11,0.0
pb_gsm8k_q4,1,unsupervised_update,12,0.0
pb_gsm8k_q4,1,supervised_update,0,-1.3677351413128704
pb_gsm8k_q4,1,supervised_update,1,-1.3483311312692636
pb_gsm8k_q4,1,supervised_update,2,-2.482030139315275
pb_gsm8k_q4,1,supervised_update,3,-1.5314217992974053
pb_gsm8k_q4,1,supervised_update,4,-0.5781577566246342
pb_gsm8k_q4,1,supervised_update,5,-0.3877870034360484
pb_gsm8k_q4,1,supervised_update,6,-1.9849671362152477
pb_gsm8k_q4,1,supervised_update,7,-0.35319265797200317
pb_gsm8k_q4,1,supervised_update,8,-1.057797487463963
pb_gsm8k_q4,1,supervised_update,9,-0.3470295589811954
pb_gsm8k_q4,1,supervised_update,10,0.04854201619802686
pb_gsm8k_q4,1,supervised_update,11,-0.3465537831675236
pb_gsm8k_q4,1,supervised_update,12,2.48789624086962
pb_gsm8k_q4,2,unsupervised_update,0,0.0
pb_gsm8k_q4,2,unsupervised_update,1,0.0
pb_gsm8k_q4,2,unsupervised_update,2,0.0
pb_gsm8k_q4,2,unsupervised_update,3,0.0
pb_gsm8k_q4,2,unsupervised_update,4,0.0
pb_gsm8k_q4,2,unsupervised_update,5,0.0
pb_gsm8k_q4,2,unsupervised_update,6,0.0
