cell,split,n_samples,n_features,active_residual_features,labels_accessed
ars_gsm8k_r1distill8b,audit,500,30,30,False
internalstates_gsm8k_qwen25_7b,structural_train,500,29,29,False
lapeigvals_gsm8k_llama3b,audit,1319,30,30,False
lapeigvals_gsm8k_llama8b,structural_train,500,29,29,False
lapeigvals_gsm8k_mistral24b,structural_train,1319,30,30,False
lapeigvals_gsm8k_nemo,structural_train,1319,29,29,False
lapeigvals_gsm8k_phi35,structural_train,1319,29,29,False
noise_gsm8k_mistral7b,structural_train,1319,29,29,False
noise_gsm8k_phi3mini,structural_train,1319,29,29,False
trace_gsm8k_llama8b_k10,structural_train,5000,29,29,False
losnet_hotpotqa_mistral7b,structural_train,500,29,29,False
math500_dsmath7b,structural_train,300,30,30,False
math500_qwenmath7b,structural_train,300,28,28,False
math500_r1distill8b,audit,300,28,28,False
math500_r1distill8b_mn4096,audit,300,29,29,False
trace_math500_qwenmath15b_k10,audit,3000,30,30,False
se_nq_open_llama8b,structural_train,8460,27,27,False
sciq_llama8b,structural_train,198,30,30,False
se_squad_v2_llama8b,structural_train,2933,27,27,False
epr_triviaqa_mistral24b,audit,621,28,28,False
seiclr_triviaqa_opt30b,audit,5000,19,19,False
semenergy_triviaqa_qwen3_8b,structural_train,4392,27,27,False
truthfulqa_llama8b,structural_train,7633,29,29,False
