method,pb_sla_macro8,pb_f1_ct7_gate,pb_sla_q4,pb_sla_q8,within_auc,eligible,step_auroc_mean_folds,step_auprc_mean_folds,prmscore_q80,prmscore_inner,pb,prm,pb_fallback,prm_fallback
consensus10__all__hard__ds,0.31341266266116624,0.3504799893876346,0.3287109014679231,0.29811442385440934,0.7229433875577995,6030,0.6758732937761802,0.24656263528032446,0.6012040862339021,0.5999355489035103,6800,6969,0,0
consensus10__all__hard__hem,0.3261890678806748,0.36238798306167275,0.3350369333892323,0.3173412023721173,0.7193156660202948,6030,0.6734170735698755,0.2451246206427002,0.5986466878225987,0.5991330972430855,6800,6969,0,0
consensus10__all__hard__equal,0.19413960528789836,0.25134263440155624,0.2020421552010712,0.18623705537472557,0.7021570938194909,6030,0.6540495937638209,0.21552124084639646,0.571839674023177,0.5824187457736811,6800,6969,0,0
consensus10__all__hard__spectral,0.27570335444603683,0.32628261934058983,0.27506294721646957,0.27634376167560404,0.7214618440184293,6030,0.6745654516800993,0.24538844395119325,0.5991591186128541,0.5994466374573147,6800,6969,0,0
consensus10__all__hard__binary_lsml,0.2909198017359236,0.3386691790616295,0.3035311290014309,0.2783084744704162,0.6920333589010645,6030,0.6523277391060741,0.21101439261113875,0.5704598104935886,0.5789453416962289,6800,6969,0,0
consensus10__all__soft__equal,0.2504442681545885,0.3055062616259951,0.24549727249030018,0.2553912638188768,0.7095252686457206,6030,0.6707690604540446,0.254846317643138,0.6013470947533363,0.6029364722709838,6800,6969,0,0
consensus10__all__soft__spectral,0.25225558552040167,0.30850805498625156,0.2557936188387415,0.24871755220206185,0.724927016377415,6030,0.6875043032652572,0.27366436912167724,0.612537626121229,0.6123477373800262,6800,6969,0,0
consensus10__all__soft__continuous_lsml,0.2126158507834822,0.2704177481277216,0.1795580561695802,0.24567364539738412,0.7264635528338527,6030,0.6897432135375217,0.27194531125396876,0.6102630180464331,0.6111169851111904,6800,6969,0,0
consensus10__all__hard__continuous_lsml,0.2299699094698437,0.2874271418076247,0.22242165565851682,0.2375181632811706,0.710954061315408,6030,0.6675507879955618,0.23647185992764702,0.5955802346251724,0.593578134269061,6800,6969,0,0
consensus10__all__pmf__equal,0.2504442681545885,0.3055062616259951,0.24549727249030018,0.2553912638188768,0.7095252686457206,6030,0.6707690604540446,0.254846317643138,0.6013470947533363,0.6029364722709838,6800,6969,0,0
