endpoint,a,b,contrast,delta,ci95,p_bootstrap,draws,p_holm
pb_sla,top5__all__soft__equal,top5__all__hard__equal,soft_minus_binary,0.11242280674711766,"[0.09410572654982521, 0.13117507970031678]",9.999000099990002e-05,10000,0.1463853614638536
pb_sla,top5__all__soft__spectral,top5__all__hard__spectral,soft_minus_binary,0.04275330759412843,"[0.030910023285595948, 0.05502760016510073]",9.999000099990002e-05,10000,0.1463853614638536
pb_sla,top5__all__soft__continuous_lsml,top5__all__hard__continuous_lsml,soft_minus_binary,0.09738295383398321,"[0.08130318930832124, 0.11339795423634746]",9.999000099990002e-05,10000,0.1463853614638536
pb_sla,top5__all__hard__continuous_lsml,top5__all__hard__binary_lsml,continuous_core_bridge,-0.1636922321285605,"[-0.18565636414564282, -0.14196864169531812]",9.999000099990002e-05,10000,0.1463853614638536
pb_sla,top5__all__hard__equal,ct7,new_minus_ct7,-0.18638996633882507,"[-0.20874685017978858, -0.16437734095321246]",9.999000099990002e-05,10000,0.1463853614638536
pb_sla,top5__all__hard__equal,mindgap,new_minus_mindgap,-0.01003222992715197,"[-0.03200562259389808, 0.010871134011074906]",0.36296370362963704,10000,1.0
pb_sla,top5__all__hard__spectral,top5__all__hard__equal,learned_minus_equal,0.004489522380728056,"[-0.0008994148534093187, 0.009608772653387122]",0.09669033096690331,10000,1.0
pb_sla,top5__all__hard__spectral,ct7,new_minus_ct7,-0.181900443958097,"[-0.20404392846268277, -0.16003892197644512]",9.999000099990002e-05,10000,0.1463853614638536
pb_sla,top5__all__hard__spectral,mindgap,new_minus_mindgap,-0.005542707546423914,"[-0.027099012775670697, 0.015449763473847066]",0.6158384161583842,10000,1.0
pb_sla,top5__all__hard__binary_lsml,top5__all__hard__equal,learned_minus_equal,0.11143538423104957,"[0.09349418679071438, 0.1295739771037165]",9.999000099990002e-05,10000,0.1463853614638536
pb_sla,top5__all__hard__binary_lsml,ct7,new_minus_ct7,-0.0749545821077755,"[-0.09272866108829592, -0.05765377110499687]",9.999000099990002e-05,10000,0.1463853614638536
pb_sla,top5__all__hard__binary_lsml,mindgap,new_minus_mindgap,0.1014031543038976,"[0.08143014692169138, 0.12147412462613486]",9.999000099990002e-05,10000,0.1463853614638536
pb_sla,top5__all__soft__equal,ct7,new_minus_ct7,-0.07396715959170741,"[-0.09099014700910477, -0.0571796381202831]",9.999000099990002e-05,10000,0.1463853614638536
pb_sla,top5__all__soft__equal,mindgap,new_minus_mindgap,0.10239057681996569,"[0.08119174056309741, 0.12376617829232328]",9.999000099990002e-05,10000,0.1463853614638536
