cell,model,dataset,method,best_subset,X,Y,delta,head_to_head,n,valid_rate
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,lsml,GOOD_5+energy,0.7315,0.746,-0.014499999999999957,SAME-MODEL,621,0.621
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,upcr,GOOD_5+logprob,0.7358,0.746,-0.010199999999999987,SAME-MODEL,621,0.621
inside_coqa_llama7b,huggyllama/llama-7b,coqa,lsml,top_macro_5,0.5786,0.804,-0.22540000000000004,,249,0.83
inside_coqa_llama7b,huggyllama/llama-7b,coqa,upcr,top_macro_5,0.6519,0.804,-0.1521,,249,0.83
lapeigvals_gsm8k_llama8b,meta-llama/Llama-3.1-8B-Instruct,gsm8k,lsml,GOOD_5,0.8152,0.925,-0.10980000000000001,,500,1.0
lapeigvals_gsm8k_llama8b,meta-llama/Llama-3.1-8B-Instruct,gsm8k,upcr,GOOD_5,0.8119,0.925,-0.11310000000000009,,500,1.0
losnet_hotpotqa_mistral7b,mistralai/Mistral-7B-Instruct-v0.2,hotpotqa,lsml,GOOD_5+spilled,0.5805,0.7292000000000001,-0.14870000000000005,,500,1.0
losnet_hotpotqa_mistral7b,mistralai/Mistral-7B-Instruct-v0.2,hotpotqa,upcr,top_macro_5,0.5833,0.7292000000000001,-0.14590000000000003,,500,1.0
se_squad_v2_llama8b,meta-llama/Llama-3.1-8B-Instruct,squad_v2,lsml,GOOD_5+energy,0.8297,,,,2933,0.293
se_squad_v2_llama8b,meta-llama/Llama-3.1-8B-Instruct,squad_v2,upcr,GOOD_5+energy,0.8003,,,,2933,0.293
seiclr_triviaqa_opt30b,facebook/opt-30b,trivia_qa_rougel,lsml,consensus_4,0.6304,0.83,-0.1996,SAME-MODEL,4993,0.999
seiclr_triviaqa_opt30b,facebook/opt-30b,trivia_qa_rougel,upcr,consensus_4,0.6197,0.83,-0.21029999999999993,SAME-MODEL,4993,0.999
semenergy_triviaqa_qwen3_8b,Qwen/Qwen3-8B,trivia_qa,lsml,GOOD_5,0.8006,0.748,0.05259999999999998,SAME-MODEL,4392,0.878
semenergy_triviaqa_qwen3_8b,Qwen/Qwen3-8B,trivia_qa,upcr,ALL_H16,0.7961,0.748,0.04810000000000003,SAME-MODEL,4392,0.878
spilled_triviaqa_llama8b,meta-llama/Llama-3.1-8B-Instruct,trivia_qa,lsml,consensus_4,0.962,,,,256,0.512
spilled_triviaqa_llama8b,meta-llama/Llama-3.1-8B-Instruct,trivia_qa,upcr,GOOD_5+energy,0.9447,,,,256,0.512
truthfulqa_llama8b,meta-llama/Llama-3.1-8B-Instruct,truthfulqa,lsml,top_macro_5,0.6786,,,,7633,0.934
truthfulqa_llama8b,meta-llama/Llama-3.1-8B-Instruct,truthfulqa,upcr,ALL_H16,0.6784,,,,7633,0.934
