domain,cell,src,subset,auroc,acc,valid_rate,n
MCQ-Science,gpqa__DeepSeek-R1-Distill-Llama-8B_T1.0,old,consensus_4,0.565833330154419,,,
MCQ-Science,gpqa__DeepSeek-R1-Distill-Llama-8B_T1.0,old,GOOD_5,0.5525000095367432,,,
MCQ-Science,gpqa__DeepSeek-R1-Distill-Llama-8B_T1.0,old,top_macro_5,0.5640277862548828,,,
MCQ-Science,gpqa__DeepSeek-R1-Distill-Llama-8B_T1.0,old,STABLE_H9,0.5515277981758118,,,
MCQ-Science,gpqa__DeepSeek-R1-Distill-Llama-8B_T1.0,old,ALL_H16,,,,
MCQ-Science,gpqa__Llama-8B_T1.0,old,consensus_4,0.5129473209381104,,,
MCQ-Science,gpqa__Llama-8B_T1.0,old,GOOD_5,0.5327261090278625,,,
MCQ-Science,gpqa__Llama-8B_T1.0,old,top_macro_5,0.5319453477859497,,,
MCQ-Science,gpqa__Llama-8B_T1.0,old,STABLE_H9,0.5500325560569763,,,
MCQ-Science,gpqa__Llama-8B_T1.0,old,ALL_H16,0.5458685755729675,,,
MCQ-Science,gpqa__Mistral-7B_T1.0,old,consensus_4,0.41108107566833496,,,
MCQ-Science,gpqa__Mistral-7B_T1.0,old,GOOD_5,0.41770270466804504,,,
MCQ-Science,gpqa__Mistral-7B_T1.0,old,top_macro_5,0.41999998688697815,,,
MCQ-Science,gpqa__Mistral-7B_T1.0,old,STABLE_H9,0.444459468126297,,,
MCQ-Science,gpqa__Mistral-7B_T1.0,old,ALL_H16,0.4416216313838959,,,
MCQ-Science,gpqa__Qwen-7B_T1.0,old,consensus_4,0.571618378162384,,,
MCQ-Science,gpqa__Qwen-7B_T1.0,old,GOOD_5,0.5234299302101135,,,
MCQ-Science,gpqa__Qwen-7B_T1.0,old,top_macro_5,0.5263285040855408,,,
MCQ-Science,gpqa__Qwen-7B_T1.0,old,STABLE_H9,0.5741546154022217,,,
MCQ-Science,gpqa__Qwen-7B_T1.0,old,ALL_H16,0.43586957454681396,,,
MCQ-Science,gpqa__Qwen2.5-72B-Instruct-AWQ_T1.0,old,consensus_4,0.6508474349975586,,,
MCQ-Science,gpqa__Qwen2.5-72B-Instruct-AWQ_T1.0,old,GOOD_5,0.5018008351325989,,,
MCQ-Science,gpqa__Qwen2.5-72B-Instruct-AWQ_T1.0,old,top_macro_5,0.5056143999099731,,,
MCQ-Science,gpqa__Qwen2.5-72B-Instruct-AWQ_T1.0,old,STABLE_H9,0.5440678000450134,,,
MCQ-Science,gpqa__Qwen2.5-72B-Instruct-AWQ_T1.0,old,ALL_H16,0.3931144177913666,,,
Reasoning-Math,gsm8k__Llama-8B_T1.0,old,consensus_4,0.748579204082489,,,
Reasoning-Math,gsm8k__Llama-8B_T1.0,old,GOOD_5,0.7563292980194092,,,
Reasoning-Math,gsm8k__Llama-8B_T1.0,old,top_macro_5,0.7529423236846924,,,
Reasoning-Math,gsm8k__Llama-8B_T1.0,old,STABLE_H9,0.7328671216964722,,,
Reasoning-Math,gsm8k__Llama-8B_T1.0,old,ALL_H16,0.7381820678710938,,,
Reasoning-Math,math500__DeepSeek-R1-Distill-Llama-8B_T1.0,old,consensus_4,0.8287630081176758,,,
Reasoning-Math,math500__DeepSeek-R1-Distill-Llama-8B_T1.0,old,GOOD_5,0.8439208269119263,,,
Reasoning-Math,math500__DeepSeek-R1-Distill-Llama-8B_T1.0,old,top_macro_5,0.8447476029396057,,,
Reasoning-Math,math500__DeepSeek-R1-Distill-Llama-8B_T1.0,old,STABLE_H9,0.8207248449325562,,,
Reasoning-Math,math500__DeepSeek-R1-Distill-Llama-8B_T1.0,old,ALL_H16,,,,
Reasoning-Math,math500__Qwen-Math-7B_T1.0,old,consensus_4,0.9264219403266907,,,
Reasoning-Math,math500__Qwen-Math-7B_T1.0,old,GOOD_5,0.9443893432617188,,,
Reasoning-Math,math500__Qwen-Math-7B_T1.0,old,top_macro_5,0.9458222985267639,,,
Reasoning-Math,math500__Qwen-Math-7B_T1.0,old,STABLE_H9,0.9441137313842773,,,
Reasoning-Math,math500__Qwen-Math-7B_T1.0,old,ALL_H16,,,,
Reasoning-Math,math500__Qwen2.5-Math-1.5B-Instruct_T1.0,old,consensus_4,0.8517401218414307,,,
Reasoning-Math,math500__Qwen2.5-Math-1.5B-Instruct_T1.0,old,GOOD_5,0.8667327165603638,,,
Reasoning-Math,math500__Qwen2.5-Math-1.5B-Instruct_T1.0,old,top_macro_5,0.8662824630737305,,,
Reasoning-Math,math500__Qwen2.5-Math-1.5B-Instruct_T1.0,old,STABLE_H9,0.8602043986320496,,,
Reasoning-Math,math500__Qwen2.5-Math-1.5B-Instruct_T1.0,old,ALL_H16,0.8666876554489136,,,
Reasoning-Math,math500__deepseek-math-7b-instruct_T1.0,old,consensus_4,0.6735354065895081,,,
Reasoning-Math,math500__deepseek-math-7b-instruct_T1.0,old,GOOD_5,0.7156621217727661,,,
Reasoning-Math,math500__deepseek-math-7b-instruct_T1.0,old,top_macro_5,0.7127786874771118,,,
Reasoning-Math,math500__deepseek-math-7b-instruct_T1.0,old,STABLE_H9,0.6762079000473022,,,
Reasoning-Math,math500__deepseek-math-7b-instruct_T1.0,old,ALL_H16,0.6996272802352905,,,
Short-QA,qa__spectral_phase9_cache_trivia_qa_cot_traces_T1.0,old,consensus_4,0.608025074005127,,,
Short-QA,qa__spectral_phase9_cache_trivia_qa_cot_traces_T1.0,old,GOOD_5,0.6549096703529358,,,
Short-QA,qa__spectral_phase9_cache_trivia_qa_cot_traces_T1.0,old,top_macro_5,0.6598869562149048,,,
Short-QA,qa__spectral_phase9_cache_trivia_qa_cot_traces_T1.0,old,STABLE_H9,0.5876858830451965,,,
Short-QA,qa__spectral_phase9_cache_trivia_qa_cot_traces_T1.0,old,ALL_H16,0.5745975375175476,,,
Short-QA,qa__spectral_phase9_cache_trivia_qa_traces_T1.0,old,consensus_4,0.9599999785423279,,,
Short-QA,qa__spectral_phase9_cache_trivia_qa_traces_T1.0,old,GOOD_5,0.9599999785423279,,,
