budget,group,is_final,label_error,method,score,trace_id,trace_length,unit_index
16,math-4,False,1,mean_entropy,0.10488644043198292,math-4,407,1
16,math-4,False,1,max_entropy,0.7019672393798828,math-4,407,1
16,math-4,False,1,deepconf_entropy_w32,0.10488644043198292,math-4,407,1
16,math-4,False,1,deepconf_entropy_w64,0.10488644043198292,math-4,407,1
16,math-4,False,1,iu28_no_length,0.23711949265159438,math-4,407,1
16,math-4,False,1,global_gl_liu_no_length,-0.5183857926061515,math-4,407,1
16,math-4,False,1,global_gl_liu_elapsed_length,-0.6009342737742216,math-4,407,1
16,math-4,False,1,local_temporal_gl_liu_max,-0.5287390643134887,math-4,407,1
16,math-4,False,1,local_dufs_gl_liu_top5,-0.36940379431476106,math-4,407,1
16,math-4,False,1,cusum_max,0.5953776496771752,math-4,407,1
16,math-4,False,1,sw_var_peak,0.04498220268377798,math-4,407,1
16,math-4,False,1,fused_gl_liu,-2.003677339129152,math-4,407,1
16,math-4,False,1,cusum_swvar_equal,-2.151139330853622,math-4,407,1
32,math-4,False,1,mean_entropy,0.2087186331462451,math-4,407,1
32,math-4,False,1,max_entropy,1.1380176544189453,math-4,407,1
32,math-4,False,1,deepconf_entropy_w32,0.2087186331462451,math-4,407,1
32,math-4,False,1,deepconf_entropy_w64,0.2087186331462451,math-4,407,1
32,math-4,False,1,iu28_no_length,0.421517365862911,math-4,407,1
32,math-4,False,1,global_gl_liu_no_length,-0.42065491220088613,math-4,407,1
32,math-4,False,1,global_gl_liu_elapsed_length,-0.4912792999320353,math-4,407,1
32,math-4,False,1,local_temporal_gl_liu_max,-0.18265726877624097,math-4,407,1
32,math-4,False,1,local_dufs_gl_liu_top5,-0.10279852296853229,math-4,407,1
32,math-4,False,1,cusum_max,2.2858992417281785,math-4,407,1
32,math-4,False,1,sw_var_peak,0.15890543769555332,math-4,407,1
32,math-4,False,1,fused_gl_liu,-1.3833665078152133,math-4,407,1
32,math-4,False,1,cusum_swvar_equal,-1.6975479328608565,math-4,407,1
64,math-4,False,1,mean_entropy,0.4859045314652507,math-4,407,1
64,math-4,False,1,max_entropy,1.8885753154754639,math-4,407,1
