world,method,n,n_expected,completion,mean_auc,sd_auc,ci95_low,ci95_high
clean,dufs_pf_lsml,5,5,1.0,0.6680659460710479,0.010457367020890607,0.659195126477614,0.6774827299621371
clean,iu_pcr,40,40,1.0,0.6662253646339054,0.00995962935498318,0.662970893347182,0.6691396952724964
clean,iu_pcr_known_orientation,40,40,1.0,0.6672671395735017,0.007560296729709449,0.6649961265809099,0.6695781777810554
clean,lsml_full,40,40,1.0,0.6666145705436439,0.007473146457080796,0.664303756670322,0.6689372990109852
clean,mean_signrho,40,40,1.0,0.6392644845735423,0.06306247992905903,0.6183226375570511,0.6567504873827694
clean,oracle_linear,40,40,1.0,0.6673695569978934,0.007592996393869175,0.665064247368343,0.6697183059951647
clean,oracle_pcr2,40,40,1.0,0.667359059043638,0.007564780241646736,0.6650995802645091,0.6697088575686628
clean,pcr_structured,40,40,1.0,0.6666789085659489,0.008973477545610233,0.6638387980390603,0.6693470213560934
clean,pcr_structured_known_orientation,40,40,1.0,0.6672632818494234,0.007559026166320371,0.6648989648593939,0.6696434612383889
clean,ridge_observed,40,40,1.0,0.6653124011475239,0.013173641565465596,0.6607052245082226,0.6688136577349139
clean,sdsf,40,40,1.0,0.6652690194492938,0.013310901146779084,0.6607405875587339,0.6688140553253497
clean,sdsf_known_orientation,40,40,1.0,0.6672577674859148,0.007564665562534678,0.6649128199234835,0.669628402938975
clean,su_pcr_known_orientation,40,40,1.0,0.6672624171148309,0.007557620695295124,0.6649535865128366,0.6696384431896877
clean,su_pcr_reproduction,40,40,1.0,0.6669327470458952,0.00822873482037379,0.6643644272385558,0.669454502661049
clean,upcr_signrho,40,40,1.0,0.6643068241999635,0.010797843479880845,0.6609234871845917,0.6674705604347465
sparse_small,dufs_pf_lsml,5,5,1.0,0.6167362748869867,0.0035183199036856435,0.6137846378851961,0.6198237449058175
sparse_small,iu_pcr,40,40,1.0,0.6492663857719646,0.03706214095186894,0.6366568480114735,0.6588282293322465
sparse_small,iu_pcr_known_orientation,40,40,1.0,0.6648895240717543,0.008056723096332147,0.6624512444195445,0.6674948160779055
sparse_small,lsml_full,40,40,1.0,0.6525575543106095,0.009392348040267263,0.649710581875643,0.6554676938921679
sparse_small,mean_signrho,40,40,1.0,0.6047027965268692,0.08194171168709069,0.5771296314608543,0.6283072135836492
sparse_small,oracle_linear,40,40,1.0,0.6749195325284807,0.0072701722709240255,0.6727082672088052,0.6772038906473581
sparse_small,oracle_pcr2,40,40,1.0,0.6650420603626715,0.008148501269887058,0.662629232823695,0.6675681706330899
sparse_small,pcr_structured,40,40,1.0,0.6555692870153281,0.03729241080732242,0.6417987346687131,0.6645096205648107
sparse_small,pcr_structured_known_orientation,40,40,1.0,0.6650229587097133,0.007935898294794033,0.6626082303610543,0.6674742006109742
sparse_small,ridge_observed,40,40,1.0,0.6482170529852355,0.04825513995511457,0.6317221951775844,0.6618297140993533
sparse_small,sdsf,40,40,1.0,0.6487668013071757,0.04814275055336733,0.6325830105871075,0.662224402261446
sparse_small,sdsf_known_orientation,40,40,1.0,0.6724572567726863,0.007416369466225687,0.6701477510269982,0.6747748844894937
sparse_small,su_pcr_known_orientation,40,40,1.0,0.6649575393560909,0.008023429197417145,0.6625326378730576,0.6674452864491983
sparse_small,su_pcr_reproduction,40,40,1.0,0.6574427648835904,0.038768872875551155,0.6440211850652753,0.6654843848010641
sparse_small,upcr_signrho,40,40,1.0,0.6490135349239139,0.036509371309293236,0.6359554498953016,0.6578617367726498
sparse_large,dufs_pf_lsml,5,5,1.0,0.6167518488691637,0.008491458946066857,0.6096146553417799,0.624571362174103
sparse_large,iu_pcr,40,40,1.0,0.6443426077012097,0.05761426046745055,0.6249523630470428,0.6597311850473014
sparse_large,iu_pcr_known_orientation,40,40,1.0,0.6657248522880883,0.005766487733463527,0.6639383218039582,0.6674833734464017
sparse_large,lsml_full,40,40,1.0,0.6524456290577761,0.005927934255213764,0.650603148416935,0.6542882832375954
sparse_large,mean_signrho,40,40,1.0,0.615638227060268,0.0737832892783167,0.5920743077092432,0.6372401407607894
sparse_large,oracle_linear,40,40,1.0,0.6747903662444849,0.0062228950349967616,0.6728739890575974,0.6766763881079987
sparse_large,oracle_pcr2,40,40,1.0,0.6658391956612068,0.005722774539634997,0.6640651496583617,0.6676235575375683
sparse_large,pcr_structured,40,40,1.0,0.659873156127846,0.01794535273873311,0.6538851906930055,0.6646444063365948
sparse_large,pcr_structured_known_orientation,40,40,1.0,0.6657671364499269,0.005788428956299512,0.6639981859268564,0.6675484508156623
sparse_large,ridge_observed,40,40,1.0,0.643797579887695,0.07081448112796306,0.6200797848228188,0.6643078300092581
sparse_large,sdsf,40,40,1.0,0.6438853764805941,0.07072250373594749,0.620030730934951,0.6640671073408235
sparse_large,sdsf_known_orientation,40,40,1.0,0.673606399651207,0.00640482849713823,0.6716504109340569,0.6755729851446522
sparse_large,su_pcr_known_orientation,40,40,1.0,0.6657428248871855,0.0057755405131934045,0.6639047798514693,0.6675617718145529
sparse_large,su_pcr_reproduction,40,40,1.0,0.6600417399353273,0.01667598442313505,0.6542976492955617,0.6645440525908678
sparse_large,upcr_signrho,40,40,1.0,0.6554125256283504,0.019230264666055926,0.648833438096677,0.6605285180710756
dense_stress,dufs_pf_lsml,5,5,1.0,0.612944738795688,0.0034110611328563327,0.6099516309986771,0.615937846592699
dense_stress,iu_pcr,40,40,1.0,0.6558255602975473,0.012718166890135892,0.6512480498169398,0.6590233985982782
dense_stress,iu_pcr_known_orientation,40,40,1.0,0.6589623173805104,0.006442878379080632,0.6569779836352363,0.6609735449159614
dense_stress,lsml_full,40,40,1.0,0.6622892459416039,0.007036662534003965,0.6600230175836794,0.6644445286544883
dense_stress,mean_signrho,40,40,1.0,0.6472369241853235,0.04483727718154113,0.6319722152810846,0.6597712479656858
dense_stress,oracle_linear,40,40,1.0,0.6827723790272086,0.0070441098848081215,0.6806148219106075,0.6849862839897652
dense_stress,oracle_pcr2,40,40,1.0,0.6589130349404098,0.006367511330210687,0.6569121412592314,0.6608652293511176
dense_stress,pcr_structured,40,40,1.0,0.657219257822377,0.006638468125989316,0.655069042347791,0.6592001026043001
dense_stress,pcr_structured_known_orientation,40,40,1.0,0.658959402730791,0.006442057799010215,0.6569484091643373,0.6609114732011402
dense_stress,ridge_observed,40,40,1.0,0.649931430121175,0.025992097135275956,0.6409536444994285,0.6568670310745517
