cell,subset,K,residual,chosen
epr_triviaqa_mistral24b,GOOD_6,2,2.917415,True
epr_triviaqa_mistral24b,GOOD_6,3,3.065763,False
epr_triviaqa_mistral24b,GOOD_6,4,3.335516,False
epr_triviaqa_mistral24b,GOOD_6,5,3.737681,False
epr_triviaqa_mistral24b,dufs_pf,2,115.348511,False
epr_triviaqa_mistral24b,dufs_pf,3,108.741948,False
epr_triviaqa_mistral24b,dufs_pf,4,107.330962,False
epr_triviaqa_mistral24b,dufs_pf,5,106.813802,True
epr_triviaqa_mistral24b,dufs_pf,6,107.610188,False
epr_triviaqa_mistral24b,dufs_pf,7,107.99286,False
epr_triviaqa_mistral24b,dufs_pf,8,108.889814,False
epr_triviaqa_mistral24b,FULL,2,134.005481,False
epr_triviaqa_mistral24b,FULL,3,134.233036,False
epr_triviaqa_mistral24b,FULL,4,131.177247,False
epr_triviaqa_mistral24b,FULL,5,126.386344,False
epr_triviaqa_mistral24b,FULL,6,126.83063,False
epr_triviaqa_mistral24b,FULL,7,126.963847,False
epr_triviaqa_mistral24b,FULL,8,125.551305,True
inside_coqa_llama7b,GOOD_6,2,1.91941,True
inside_coqa_llama7b,GOOD_6,3,2.050311,False
inside_coqa_llama7b,GOOD_6,4,2.184623,False
inside_coqa_llama7b,GOOD_6,5,2.642143,False
inside_coqa_llama7b,dufs_pf,2,72.767794,False
inside_coqa_llama7b,dufs_pf,3,69.811834,False
inside_coqa_llama7b,dufs_pf,4,70.539991,False
inside_coqa_llama7b,dufs_pf,5,69.523831,True
inside_coqa_llama7b,dufs_pf,6,69.538741,False
inside_coqa_llama7b,dufs_pf,7,70.370763,False
inside_coqa_llama7b,dufs_pf,8,71.049216,False
inside_coqa_llama7b,FULL,2,108.289346,False
inside_coqa_llama7b,FULL,3,103.905988,False
inside_coqa_llama7b,FULL,4,102.008135,False
inside_coqa_llama7b,FULL,5,101.383796,False
inside_coqa_llama7b,FULL,6,99.564043,True
inside_coqa_llama7b,FULL,7,99.741496,False
inside_coqa_llama7b,FULL,8,99.697588,False
losnet_hotpotqa_mistral7b,GOOD_6,2,1.783252,True
losnet_hotpotqa_mistral7b,GOOD_6,3,1.879103,False
losnet_hotpotqa_mistral7b,GOOD_6,4,2.028472,False
losnet_hotpotqa_mistral7b,GOOD_6,5,2.384025,False
losnet_hotpotqa_mistral7b,dufs_pf,2,56.234311,False
losnet_hotpotqa_mistral7b,dufs_pf,3,52.883417,False
losnet_hotpotqa_mistral7b,dufs_pf,4,52.408692,True
losnet_hotpotqa_mistral7b,dufs_pf,5,52.903414,False
losnet_hotpotqa_mistral7b,dufs_pf,6,53.870456,False
losnet_hotpotqa_mistral7b,dufs_pf,7,54.935514,False
losnet_hotpotqa_mistral7b,dufs_pf,8,56.032068,False
losnet_hotpotqa_mistral7b,FULL,2,105.045228,False
losnet_hotpotqa_mistral7b,FULL,3,98.355659,False
