cell_id,benchmark_panel,lane,n_streams,selected_k,group_sizes,prior_joint_gate_pass,prior_converged,prior_multistart_status,prior_jacobian_status,prior_regularization_status,admissible,free_edge_count,free_component_count,free_bipartite,free_fiedler_weighted,minimum_exclusive_fiedler,j_raw,j_selection,blockers
processbench_gsm8k_qwen3_4b,ProcessBench,v2_active28,28,4,14|8|3|3,False,True,PASS,PASS,BLOCKED,True,253,1,False,0.020487311347039898,3.0,0.020487311347039898,0.020487311347039898,
processbench_gsm8k_qwen3_4b,ProcessBench,h2_24,24,3,14|8|2,False,True,PASS,PASS,BLOCKED,False,156,1,False,0.022744425350266165,2.0,0.022744425350266165,0.0,GROUP_2_EXCLUSIVE_SUPPORT_LT3|GROUP_2_EXCLUSIVE_BIPARTITE
processbench_math_qwen3_4b,ProcessBench,v2_active28,28,2,6|22,True,True,PASS,PASS,PASS,False,132,1,True,0.008698425198300356,6.0,0.008698425198300356,0.0,FREE_GRAPH_BIPARTITE
processbench_math_qwen3_4b,ProcessBench,h2_24,24,6,4|5|7|4|2|2,False,False,BLOCKED,PASS,BLOCKED,False,231,1,False,0.08125791300713016,2.0,0.08125791300713016,0.0,GROUP_4_EXCLUSIVE_SUPPORT_LT3|GROUP_4_EXCLUSIVE_BIPARTITE|GROUP_5_EXCLUSIVE_SUPPORT_LT3|GROUP_5_EXCLUSIVE_BIPARTITE
processbench_olympiadbench_qwen3_4b,ProcessBench,v2_active28,28,2,6|22,True,True,PASS,PASS,PASS,False,132,1,True,0.0038968393563626504,6.0,0.0038968393563626504,0.0,FREE_GRAPH_BIPARTITE
processbench_olympiadbench_qwen3_4b,ProcessBench,h2_24,24,2,22|2,False,False,BLOCKED,PASS,BLOCKED,False,44,1,True,0.0015774284733056766,2.0,0.0015774284733056766,0.0,FREE_GRAPH_BIPARTITE|GROUP_1_EXCLUSIVE_SUPPORT_LT3|GROUP_1_EXCLUSIVE_BIPARTITE
processbench_omnimath_qwen3_4b,ProcessBench,v2_active28,28,6,3|6|3|8|4|4,False,True,PASS,PASS,BLOCKED,True,317,1,False,0.0312513115443135,3.0,0.0312513115443135,0.0312513115443135,
processbench_omnimath_qwen3_4b,ProcessBench,h2_24,24,2,22|2,False,False,BLOCKED,PASS,BLOCKED,False,44,1,True,0.001300051490913303,2.0,0.001300051490913303,0.0,FREE_GRAPH_BIPARTITE|GROUP_1_EXCLUSIVE_SUPPORT_LT3|GROUP_1_EXCLUSIVE_BIPARTITE
processbench_gsm8k_qwen3_8b,ProcessBench,v2_active28,28,3,2|18|8,True,True,PASS,PASS,PASS,False,196,1,False,0.010045602642790172,2.0,0.010045602642790172,0.0,GROUP_0_EXCLUSIVE_SUPPORT_LT3|GROUP_0_EXCLUSIVE_BIPARTITE
processbench_gsm8k_qwen3_8b,ProcessBench,h2_24,24,2,16|8,False,True,PASS,PASS,BLOCKED,False,128,1,True,0.05288246294028689,7.999999999999996,0.05288246294028689,0.0,FREE_GRAPH_BIPARTITE
processbench_math_qwen3_8b,ProcessBench,v2_active28,28,4,8|3|3|14,False,True,PASS,PASS,BLOCKED,True,253,1,False,0.07705855880674317,3.0,0.07705855880674317,0.07705855880674317,
processbench_math_qwen3_8b,ProcessBench,h2_24,24,2,16|8,False,True,PASS,PASS,BLOCKED,False,128,1,True,0.008489367809361858,7.999999999999996,0.008489367809361858,0.0,FREE_GRAPH_BIPARTITE
processbench_olympiadbench_qwen3_8b,ProcessBench,v2_active28,28,4,3|7|15|3,False,True,PASS,PASS,BLOCKED,True,246,1,False,0.0024740165233775465,3.0,0.0024740165233775465,0.0024740165233775465,
processbench_olympiadbench_qwen3_8b,ProcessBench,h2_24,24,6,7|5|2|2|3|5,False,True,PASS,PASS,BLOCKED,False,230,1,False,0.020404258605746777,2.0,0.020404258605746777,0.0,GROUP_2_EXCLUSIVE_SUPPORT_LT3|GROUP_2_EXCLUSIVE_BIPARTITE|GROUP_3_EXCLUSIVE_SUPPORT_LT3|GROUP_3_EXCLUSIVE_BIPARTITE
processbench_omnimath_qwen3_8b,ProcessBench,v2_active28,28,4,8|3|3|14,False,True,PASS,PASS,BLOCKED,True,253,1,False,0.005701089616236459,3.0,0.005701089616236459,0.005701089616236459,
processbench_omnimath_qwen3_8b,ProcessBench,h2_24,24,2,16|8,False,True,PASS,PASS,BLOCKED,False,128,1,True,0.023175052354584898,7.999999999999996,0.023175052354584898,0.0,FREE_GRAPH_BIPARTITE
prmbench_response_qwen3_8b,PRMBench,v2_active28,28,4,13|3|9|3,False,True,PASS,PASS,BLOCKED,True,258,1,False,0.04683697790969121,3.0,0.04683697790969121,0.04683697790969121,
prmbench_response_qwen3_8b,PRMBench,h2_24,24,4,8|2|5|9,False,True,PASS,PASS,BLOCKED,False,201,1,False,0.006413009235061346,2.0,0.006413009235061346,0.0,GROUP_1_EXCLUSIVE_SUPPORT_LT3|GROUP_1_EXCLUSIVE_BIPARTITE
