method,display_method,n_cells,macro_auroc,macro_auroc_ci_low,macro_auroc_ci_high,macro_auprc,macro_auprc_ci_low,macro_auprc_ci_high,label_use
upcr,Depth-tail consensus · deployed U-PCR,13,0.778232956128214,0.7682439017937076,0.7883756699458424,0.6386255271666429,0.6239254167961448,0.6572517910946182,none
equal_mean,Depth-tail consensus · equal mean,13,0.7775887035920257,0.7676072906028983,0.7878016987296189,0.6377926935477067,0.6229328833499127,0.6565178401974544,none
dufs_liu_pcr,Depth-tail consensus · DUFS-LIU-PCR,13,0.7758187486283501,0.7658238666735911,0.7858885766363625,0.6350522657101967,0.6205303804394474,0.65368869437392,none
iu_pcr,Depth-tail consensus · IU-PCR,13,0.7752305244495848,0.765160449729124,0.7853373985941957,0.6339087522902138,0.6192543433005538,0.6524515334573275,none
best_single_layer,Best single module/metric/layer · evaluation oracle,13,0.7750873559328337,0.7649896335300963,0.7852869566633324,0.6422253449834812,0.6275477990969404,0.6606043812316291,evaluation-only
trilens_supervised_lr,TriLens · grouped L2 probe,13,0.7689325299729851,nan,nan,0.6455426487561878,nan,nan,supervised
dola_kl_supervised_lr,DoLa KL trajectory · grouped L2 probe,13,0.7678391095586053,nan,nan,0.6368137178711388,nan,nan,5-fold grouped supervised; source-benchmark approximation
generation_entropy_mean,Generation entropy · output baseline,13,0.7398721745791298,0.7285352724301019,0.75001979464306,0.6153916900485339,0.5990742181445675,0.6340247978410124,none; source-benchmark proxy
final_layer_nll,Final-layer target NLL · output baseline,13,0.7297783951728509,0.7188947424732189,0.7396338270893231,0.5892256809639554,0.5746358909370622,0.6068440959048194,none; source-benchmark proxy
dola_kl_equal_mean,DoLa KL trajectory · equal mean proxy,13,0.6981011436659983,0.6864161840549037,0.7094455864362256,0.5836016862729868,0.5676456149881087,0.6021189179859198,none; source-benchmark proxy
spilled_energy_eq8_mean_proxy,Spilled Energy Eq. 8 · mean proxy,13,0.659604973129012,0.6480549312899975,0.6705439610810205,0.5421727317868856,0.5278794226721583,0.5593177065753321,none; source-benchmark proxy
haloscope_direct_proxy,HaloScope · direct projection proxy,13,0.557404795598178,0.5448185242745639,0.5701966726548009,0.426477718783078,0.41368577183250166,0.44403438476523693,none; source-benchmark proxy
