architecture,budget,family,locator,model,prediction,score,target,task,unit
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.29640360137372795,1,global,gsm8k-0
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,-0.4232374502295812,1,global,gsm8k-1
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.7110543586628634,1,global,gsm8k-100
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,1.433911501765626,1,global,gsm8k-102
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.4636407461491482,1,global,gsm8k-104
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.7466709385208549,1,global,gsm8k-106
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,1.0574460041830385,1,global,gsm8k-108
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.42737686005591824,1,global,gsm8k-109
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,-0.2645511746980016,1,global,gsm8k-115
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.5928905491400299,1,global,gsm8k-116
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.9406529752706347,1,global,gsm8k-119
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,-0.3934835927166687,1,global,gsm8k-122
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,-0.07274844927485002,1,global,gsm8k-123
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,-0.2824672035373962,1,global,gsm8k-126
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.44877267816569566,1,global,gsm8k-13
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.10610623696103177,1,global,gsm8k-130
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.49926790769607415,1,global,gsm8k-131
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.42829209729687895,1,global,gsm8k-132
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,-0.1641199338019238,1,global,gsm8k-133
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.34588471365711293,1,global,gsm8k-134
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,1.7737610200167795,1,global,gsm8k-137
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.5318956838133919,1,global,gsm8k-144
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.31996141905181386,1,global,gsm8k-149
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,-0.31398517747464527,1,global,gsm8k-15
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.4771943677118254,1,global,gsm8k-150
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,-0.2177455505888266,1,global,gsm8k-151
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.24870749438010037,1,global,gsm8k-157
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,-0.004376373367387949,1,global,gsm8k-159
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,-0.35639260335902456,1,global,gsm8k-160
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.6057380033999595,1,global,gsm8k-163
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,-0.00852129401769208,1,global,gsm8k-165
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.7257007051445098,1,global,gsm8k-17
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.20877817179224975,1,global,gsm8k-170
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.4354069232955691,1,global,gsm8k-171
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.45866043378190263,1,global,gsm8k-173
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.19401004213223252,1,global,gsm8k-175
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,-0.3109848213974084,1,global,gsm8k-179
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.00796193067418341,1,global,gsm8k-18
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.18352743523171294,1,global,gsm8k-184
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,-0.14832644445241516,1,global,gsm8k-185
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,-0.03506338282162991,1,global,gsm8k-187
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.44674281529921467,1,global,gsm8k-188
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.4034902094048419,1,global,gsm8k-189
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.35478240346976975,1,global,gsm8k-19
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,1.0814100969182614,1,global,gsm8k-191
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.06438451105917228,1,global,gsm8k-193
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,-0.1899088915375749,1,global,gsm8k-196
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,0.7685776625551748,1,global,gsm8k-20
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,-0.01789636731424383,0,global,gsm8k-206
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,1.3352274261776107,0,global,gsm8k-208
a_one_shared__w1.00__peak,final,gsm8k,,qwen3_4b,,-0.5213607121017239,1,global,gsm8k-21
