world,replicate,seed,config,model_seed,epoch,loss,training_loss,validation_loss,orthogonality_error,alpha_entropy,validation_orthogonality_error,validation_alpha_entropy,gradient_norm,learning_rate
aligned_clean,0,4100000,base,11,1,0.04044174775481224,0.0047506350092589855,0.04044174775481224,0.6163269281387329,1.3862468004226685,5.8395713153913675e-08,1.3862454891204834,0.035214830189943314,0.001
aligned_clean,0,4100000,base,11,2,0.04037598520517349,0.006536787375807762,0.04037598520517349,0.3358938694000244,1.3862431049346924,1.8368380594324663e-08,1.3862462043762207,0.04884503036737442,0.001
aligned_clean,0,4100000,base,11,3,0.04100922495126724,0.007130586542189121,0.04100922495126724,0.49403101205825806,1.3862526416778564,1.3420610400771693e-07,1.3862465620040894,0.058786649256944656,0.001
aligned_clean,0,4100000,base,11,4,0.04165273532271385,0.005362719763070345,0.04165273532271385,0.3346010446548462,1.3862558603286743,6.42039807985384e-08,1.386246919631958,0.04268091917037964,0.001
aligned_clean,0,4100000,base,11,5,0.04243609309196472,0.004246213007718325,0.04243609309196472,0.5464406609535217,1.38624906539917,6.015095976863449e-08,1.386247158050537,0.04811606928706169,0.001
aligned_clean,0,4100000,base,11,6,0.04354673624038696,0.004369080066680908,0.04354673624038696,0.39738157391548157,1.3862594366073608,1.9045012322749244e-07,1.3862473964691162,0.04362587630748749,0.001
aligned_clean,0,4100000,base,11,7,0.04522395879030228,0.007573280017822981,0.04522395879030228,0.36580803990364075,1.3862504959106445,1.3810573307182494e-07,1.386247158050537,0.08431468158960342,0.001
aligned_clean,1,4100001,base,11,1,0.04057574272155762,0.007218242157250643,0.04057574272155762,1.2936488389968872,1.386235237121582,1.214060176835119e-07,1.3862675428390503,0.05495124310255051,0.001
aligned_clean,1,4100001,base,11,2,0.04092755913734436,0.005953388754278421,0.04092755913734436,0.5895160436630249,1.3862416744232178,1.1920963061129441e-07,1.3862696886062622,0.04664338380098343,0.001
aligned_clean,1,4100001,base,11,3,0.04132463410496712,0.0031722201965749264,0.04132463410496712,0.48494091629981995,1.3862537145614624,1.2664496296110883e-07,1.3862712383270264,0.02663377672433853,0.001
aligned_clean,1,4100001,base,11,4,0.04190083593130112,0.0059182047843933105,0.04190083593130112,0.3012489974498749,1.3862515687942505,1.3507774099252856e-07,1.3862724304199219,0.05479739233851433,0.001
aligned_clean,1,4100001,base,11,5,0.04231959581375122,0.005802107509225607,0.04231959581375122,0.4650374948978424,1.3862556219100952,9.28282162249161e-08,1.3862736225128174,0.05024262145161629,0.001
aligned_clean,1,4100001,base,11,6,0.04272456839680672,0.0044160038232803345,0.04272456839680672,0.27601730823516846,1.3862563371658325,2.508099328224489e-07,1.3862744569778442,0.0459979772567749,0.001
conditional_corruption,0,4110000,base,11,1,0.044963110238313675,0.016326239332556725,0.044963110238313675,1.3259612321853638,1.3862476348876953,1.1937905242120905e-07,1.386258840560913,0.09501276165246964,0.001
conditional_corruption,0,4110000,base,11,2,0.04461432620882988,0.007264323066920042,0.04461432620882988,0.45102325081825256,1.3862504959106445,9.868113437505599e-08,1.3862577676773071,0.04453492909669876,0.001
conditional_corruption,0,4110000,base,11,3,0.04421735554933548,0.01236645132303238,0.04421735554933548,0.44681409001350403,1.3862508535385132,3.4562575024210673e-07,1.3862570524215698,0.08367446064949036,0.001
conditional_corruption,0,4110000,base,11,4,0.043737370520830154,0.009408138692378998,0.043737370520830154,0.24581794440746307,1.3862489461898804,1.7682700104160176e-07,1.3862565755844116,0.06932103633880615,0.001
conditional_corruption,0,4110000,base,11,5,0.04335332289338112,0.006074806209653616,0.04335332289338112,0.3301856219768524,1.3862472772598267,2.5285606852776255e-07,1.3862560987472534,0.04498879984021187,0.001
conditional_corruption,0,4110000,base,11,6,0.04307187721133232,0.009533495642244816,0.04307187721133232,0.7619842886924744,1.3862428665161133,2.6935205710287846e-07,1.3862553834915161,0.08765546977519989,0.001
conditional_corruption,0,4110000,base,11,7,0.04270463436841965,0.005940046161413193,0.04270463436841965,0.3649754524230957,1.3862468004226685,3.6853251117463515e-07,1.3862547874450684,0.0653798058629036,0.001
conditional_corruption,0,4110000,base,11,8,0.04235372319817543,0.007312450557947159,0.04235372319817543,0.348995178937912,1.3862520456314087,1.7249850259304367e-07,1.3862541913986206,0.08948303014039993,0.001
conditional_corruption,0,4110000,base,11,9,0.042077261954545975,0.010383279994130135,0.042077261954545975,0.07660482078790665,1.3862433433532715,2.416257132153987e-07,1.386253833770752,0.1363704651594162,0.001
conditional_corruption,0,4110000,base,11,10,0.04177935793995857,0.009869752451777458,0.04177935793995857,0.536319375038147,1.3862403631210327,1.7593872314591863e-07,1.3862533569335938,0.13469675183296204,0.001
conditional_corruption,0,4110000,base,11,11,0.04183502867817879,0.012391163036227226,0.04183502867817879,0.9509769678115845,1.386237382888794,2.451188834129425e-07,1.3862528800964355,0.22407034039497375,0.001
conditional_corruption,0,4110000,base,11,12,0.04225841164588928,0.010689043439924717,0.04225841164588928,0.3364533483982086,1.3862422704696655,4.941939550917596e-07,1.386252522468567,0.14779959619045258,0.001
conditional_corruption,1,4110001,base,11,1,0.05039500072598457,0.007822368294000626,0.05039500072598457,0.1821446269750595,1.3862543106079102,1.7886159753288666e-07,1.3862444162368774,0.05125787854194641,0.001
conditional_corruption,1,4110001,base,11,2,0.05074688419699669,0.010697828605771065,0.05074688419699669,0.36186572909355164,1.386254072189331,1.3976240609281376e-07,1.3862457275390625,0.09157963842153549,0.001
conditional_corruption,1,4110001,base,11,3,0.051134876906871796,0.009123817086219788,0.051134876906871796,0.37497544288635254,1.3862534761428833,1.703909191519415e-07,1.3862470388412476,0.08064024150371552,0.001
