comparison_id,cell_id,n_steps,spearman_rank_correlation
C7_VS_FAMILY6,processbench_gsm8k_llama31_8b,2082,0.9604340737001726
C8_VS_FAMILY6,processbench_gsm8k_llama31_8b,2082,0.9793593098036404
C7_VS_C8,processbench_gsm8k_llama31_8b,2082,0.9864558952960841
C7_VS_FAMILY6,processbench_math_llama31_8b,6505,0.9604454992650533
C8_VS_FAMILY6,processbench_math_llama31_8b,6505,0.9842783986903418
C7_VS_C8,processbench_math_llama31_8b,6505,0.9847580209739515
C7_VS_FAMILY6,processbench_olympiadbench_llama31_8b,8819,0.9707274111774055
C8_VS_FAMILY6,processbench_olympiadbench_llama31_8b,8819,0.9862725201638322
C7_VS_C8,processbench_olympiadbench_llama31_8b,8819,0.9895432783667364
C7_VS_FAMILY6,processbench_omnimath_llama31_8b,8291,0.9606893364528633
C8_VS_FAMILY6,processbench_omnimath_llama31_8b,8291,0.9810694284499705
C7_VS_C8,processbench_omnimath_llama31_8b,8291,0.9880567406223156
C7_VS_FAMILY6,macro,25697,0.9630740801488736
C8_VS_FAMILY6,macro,25697,0.9827449142769462
C7_VS_C8,macro,25697,0.9872034838147719
