cell,removed,variant,auroc,size,chosen,fallback,seconds
truthfulqa_llama8b,FULL,a6.pl_dufs,0.6627738643658607,18,epr|trace_length|spectral_entropy|low_band_power|hl_ratio|stft_max_high_power|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,False,64.6
truthfulqa_llama8b,FULL,a6.dufs,0.6541440303038646,18,epr|trace_length|spectral_entropy|hl_ratio|stft_max_high_power|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,False,64.6
truthfulqa_llama8b,epr,a6.pl_dufs,0.6649792342014007,17,trace_length|spectral_entropy|low_band_power|hl_ratio|stft_max_high_power|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,False,62.1
truthfulqa_llama8b,epr,a6.dufs,0.6661872515675787,16,trace_length|spectral_entropy|hl_ratio|stft_max_high_power|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,False,62.1
truthfulqa_llama8b,trace_length,a6.pl_dufs,0.6552844827461283,18,epr|spectral_entropy|low_band_power|hl_ratio|stft_max_high_power|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,False,64.7
truthfulqa_llama8b,trace_length,a6.dufs,0.6472987797013956,17,epr|spectral_entropy|hl_ratio|stft_max_high_power|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,False,64.7
truthfulqa_llama8b,spectral_entropy,a6.pl_dufs,0.6472234257916145,18,epr|trace_length|low_band_power|hl_ratio|stft_max_high_power|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,False,73.0
truthfulqa_llama8b,spectral_entropy,a6.dufs,0.6563497624178172,16,epr|trace_length|hl_ratio|stft_max_high_power|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,False,73.0
truthfulqa_llama8b,low_band_power,a6.pl_dufs,0.6637143391244744,17,epr|trace_length|spectral_entropy|hl_ratio|stft_max_high_power|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,False,69.8
truthfulqa_llama8b,low_band_power,a6.dufs,0.6637143391244744,17,epr|trace_length|spectral_entropy|hl_ratio|stft_max_high_power|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,False,69.8
truthfulqa_llama8b,high_band_power,a6.pl_dufs,0.664376402923152,17,epr|trace_length|spectral_entropy|low_band_power|hl_ratio|stft_max_high_power|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|cusum_max_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,False,70.4
