cell,dataset,model,method,supervision,access,passes,profile_src,auroc,auroc_as_published,published_scale,role,same_model,verified_by,source_csv,source,paper_slug,paper_table,paper_columns,paper_evidence,caveat
ars_gsm8k_r1distill8b,gsm8k,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,ARS (CCS),unsupervised,white-box,1,paper,0.7472,0.7472,0-1,anchor,SAME-MODEL,extracted,scores_lsml_upcr.csv,NO CITATION in scores_lsml_upcr.csv — that file carries published_Y/Y_method only,harnessing-reasoning-trajectories-for-hallucination-detectio,Table 1,Single Sampling | Supervision | TruthfulQA | TriviaQA | GSM8K | MATH-500,"DeepSeek-R1-Distill-Llama-8B block, ARS (CCS): 80.89 | 88.86 | 74.72 | 86.38. Single Sampling = yes, Supervision = no. All values AUROC %.",
epr_triviaqa_mistral24b,trivia_qa_wiki,mistralai/Mistral-Small-3.1-24B-Instruct-2503,EPR,unsupervised,grey-box,1,paper,0.746,0.746,0-1,anchor,SAME-MODEL,extracted,scores_lsml_upcr.csv,NO CITATION in scores_lsml_upcr.csv — that file carries published_Y/Y_method only,epr,Table 1 (K=15),SCGPT | EPR (ours) | HalluDetect | WEPR (ours),TriviaQA (Hallucination Detection) / Mistral-Small-24B row: 79.0 | 74.6 | 78.7 | 82.0,
epr_triviaqa_mistral24b,trivia_qa_wiki,mistralai/Mistral-Small-3.1-24B-Instruct-2503,EPR,unsupervised,grey-box,1,paper,0.746,74.6,0-100,table,,extracted,published_baselines.csv,EPR paper Table 1 (K=15),epr,Table 1 (K=15),SCGPT | EPR (ours) | HalluDetect | WEPR (ours),TriviaQA (Hallucination Detection) / Mistral-Small-24B row: 79.0 | 74.6 | 78.7 | 82.0,the paper's own unsupervised method
epr_triviaqa_mistral24b,trivia_qa_wiki,mistralai/Mistral-Small-3.1-24B-Instruct-2503,HalluDetect,supervised,grey-box,1,paper,0.787,78.7,0-100,table,,extracted,published_baselines.csv,EPR paper Table 1 (K=15),epr,Table 1 (K=15),SCGPT | EPR (ours) | HalluDetect | WEPR (ours),TriviaQA (Hallucination Detection) / Mistral-Small-24B row: 79.0 | 74.6 | 78.7 | 82.0,supervised baseline
epr_triviaqa_mistral24b,trivia_qa_wiki,mistralai/Mistral-Small-3.1-24B-Instruct-2503,SelfCheckGPT,unsupervised,black-box,K (sampled),paper,0.79,79.0,0-100,table,,extracted,published_baselines.csv,EPR paper Table 1 (K=15),epr,Table 1 (K=15),SCGPT | EPR (ours) | HalluDetect | WEPR (ours),TriviaQA (Hallucination Detection) / Mistral-Small-24B row: 79.0 | 74.6 | 78.7 | 82.0,SCGPT; same-model TriviaQA hallucination-detection row
epr_triviaqa_mistral24b,trivia_qa_wiki,mistralai/Mistral-Small-3.1-24B-Instruct-2503,WEPR,supervised,grey-box,1,paper,0.82,82.0,0-100,table,,extracted,published_baselines.csv,EPR paper Table 1 (K=15),epr,Table 1 (K=15),SCGPT | EPR (ours) | HalluDetect | WEPR (ours),TriviaQA (Hallucination Detection) / Mistral-Small-24B row: 79.0 | 74.6 | 78.7 | 82.0,the paper's supervised variant
inside_coqa_llama7b,coqa,huggyllama/llama-7b,INSIDE,unsupervised,white-box,10,paper,0.804,0.804,0-1,anchor,,extracted,scores_lsml_upcr.csv,NO CITATION in scores_lsml_upcr.csv — that file carries published_Y/Y_method only,inside-llms-internal-states-retain-the,Table 1 (AUCs = sentence-similarity correctness),"CoQA | SQuAD | NQ | TriviaQA, each as AUCs | AUCr | PCC","Chen et al., ICLR 2024 (Alibaba Cloud / Zhejiang). LLaMA-7B row, EigenScore: CoQA AUCs 80.4. Implementation: 'The number of generations is set to K = 10'; sentence embedding is 'the last token embedding ... in the middle layer' -> multi-pass and white-box. INSIDE is the framework; the score itself is called EigenScore.",
internalstates_gsm8k_qwen25_7b,gsm8k,Qwen/Qwen2.5-7B-Instruct,Internal-States+RC,supervised,white-box,3 (multi-path),paper,0.7915,0.7915000000000001,0-1,anchor,SAME-MODEL,extracted,scores_lsml_upcr.csv,NO CITATION in scores_lsml_upcr.csv — that file carries published_Y/Y_method only,hallucination-detection-via-internal-states-and-structured-r,"Table 1 (AUROC, temp 0.8)",TruthfulQA | TriviaQA | GSM8K,"Song, Qiu, Zhang, Tang (Beijing Univ. of Posts and Telecommunications). Qwen2.5-7B row, 'ours': 84.03 | 85.68 | 79.15 -> GSM8K 79.15. Supervised: a cross-attention CLASSIFIER trained on Hallucination/Non-Hallucination labels. White-box: 'LLM Internal States Extraction'. Multi-pass: 'signals from three complementary reasoning paths' (Answer, CoT Answer, Reverse Query).",
lapeigvals_gsm8k_llama3b,gsm8k,unsloth/Llama-3.2-3B-Instruct,AttentionScore (LapEigvals paper),unsupervised,white-box,1,paper,0.717,0.717,0-1,anchor,SAME-MODEL,extracted,scores_lsml_upcr.csv (rebuilt Step 193),"Binkowski et al., Table 1 (temp=1.0, test AUROC), Llama3.2-3B row",hallucination-detection-in-llms-using-spectral-features-of-a,"Table 1 (temp=1.0, test AUROC)",CoQA | GSM8K | HaluevalQA | NQOpen | SQuADv2 | TriviaQA | TruthfulQA,"Binkowski et al. GSM8K column. AttentionScore: Llama3.2-3B .717, Llama3.1-8B .720, Phi3.5 .666, Mistral-Nemo .630, Mistral-Small-24B .576. LapEigvals: .870 / .872 / .885 / .890 / .925. Caption: 'a single run of logistic regression training'; 'We mark results for AttentionScore in gray as it is an unsupervised approach, not directly comparable to the others'.",CORRECTED Step 193: stored as 'LapEigvals' = 0.7170000000000001. The value was right but the method name and supervision tag were wrong. AttentionScore is the paper's only unsupervised method and therefore the like-for-like comparator for our label-free detector.
lapeigvals_gsm8k_llama3b,gsm8k,unsloth/Llama-3.2-3B-Instruct,LapEigvals,supervised,white-box,1,paper,0.87,0.87,0-1,table,SAME-MODEL,extracted,scores_lsml_upcr.csv (rebuilt Step 193),"Binkowski et al., Table 1 (temp=1.0, test AUROC), Llama3.2-3B row",hallucination-detection-in-llms-using-spectral-features-of-a,"Table 1 (temp=1.0, test AUROC)",CoQA | GSM8K | HaluevalQA | NQOpen | SQuADv2 | TriviaQA | TruthfulQA,"Binkowski et al. GSM8K column. AttentionScore: Llama3.2-3B .717, Llama3.1-8B .720, Phi3.5 .666, Mistral-Nemo .630, Mistral-Small-24B .576. LapEigvals: .870 / .872 / .885 / .890 / .925. Caption: 'a single run of logistic regression training'; 'We mark results for AttentionScore in gray as it is an unsupervised approach, not directly comparable to the others'.","SUPERVISED: a logistic-regression probe over Laplacian eigenvalues of attention maps (needs model internals + labels). Compare against our LR oracle, not against our label-free score."
