cell,method_a,method_b,source_b,auroc_a,auroc_b,delta,status,resolution
ars_gsm8k_r1distill8b,ARS (CCS),ARS (CCS),scores_lsml_upcr.csv,0.7472,0.7472,+0.0000,MATCH,
ars_gsm8k_r1distill8b,ARS (CCS),ARS (CCS),reasoning_benchmark.csv,0.7472,0.7472,+0.0000,MATCH,
epr_triviaqa_mistral24b,EPR,EPR,published_baselines.csv,0.7460,0.7460,+0.0000,MATCH,
epr_triviaqa_mistral24b,EPR,EPR,scores_lsml_upcr.csv,0.7460,0.7460,+0.0000,MATCH,
epr_triviaqa_mistral24b,HalluDetect,HalluDetect,published_baselines.csv,0.7870,0.7870,+0.0000,MATCH,
epr_triviaqa_mistral24b,SelfCheckGPT,SelfCheckGPT,published_baselines.csv,0.7900,0.7900,+0.0000,MATCH,
epr_triviaqa_mistral24b,WEPR,WEPR,published_baselines.csv,0.8200,0.8200,+0.0000,MATCH,
inside_coqa_llama7b,INSIDE,INSIDE,scores_lsml_upcr.csv,0.8040,0.8040,+0.0000,MATCH,
internalstates_gsm8k_qwen25_7b,Internal-States+RC,Internal-States+RC,scores_lsml_upcr.csv,0.7915,0.7915,-0.0000,MATCH,
lapeigvals_gsm8k_llama3b,LapEigvals,LapEigvals,scores_lsml_upcr.csv,0.8700,0.7170,+0.1530,DELTA,"value right, method mislabeled: it is the paper's AttentionScore baseline (unsupervised), not supervised LapEigvals (Step 193b)"
lapeigvals_gsm8k_llama3b,AttentionScore (LapEigvals paper),LapEigvals AttentionScore,reasoning_benchmark.csv,0.7170,0.7170,-0.0000,MATCH,
lapeigvals_gsm8k_llama8b,LapEigvals,LapEigvals,scores_lsml_upcr.csv,0.8720,0.9250,-0.0530,DELTA,old 0.925 is Mistral-Small-24B's LapEigvals column — wrong MODEL (Step 193b); own-model values are 0.720 (AttentionScore) / 0.872 (probe)
lapeigvals_gsm8k_llama8b,AttentionScore (LapEigvals paper),,,0.7200,,,ONLY_A,new/renamed row introduced by the Step-193 rebuild (no old counterpart at this value)
lapeigvals_gsm8k_mistral24b,LapEigvals,LapEigvals,scores_lsml_upcr.csv,0.9250,0.5760,+0.3490,DELTA,"value right, method mislabeled -> AttentionScore (Step 193b)"
lapeigvals_gsm8k_mistral24b,AttentionScore (LapEigvals paper),LapEigvals AttentionScore,reasoning_benchmark.csv,0.5760,0.5760,-0.0000,MATCH,
lapeigvals_gsm8k_nemo,LapEigvals,LapEigvals,scores_lsml_upcr.csv,0.8900,0.6300,+0.2600,DELTA,"value right, method mislabeled -> AttentionScore (Step 193b)"
lapeigvals_gsm8k_nemo,AttentionScore (LapEigvals paper),LapEigvals AttentionScore,reasoning_benchmark.csv,0.6300,0.6300,+0.0000,MATCH,
lapeigvals_gsm8k_phi35,LapEigvals,LapEigvals,scores_lsml_upcr.csv,0.8850,0.6660,+0.2190,DELTA,"value right, method mislabeled -> AttentionScore (Step 193b)"
lapeigvals_gsm8k_phi35,AttentionScore (LapEigvals paper),LapEigvals AttentionScore,reasoning_benchmark.csv,0.6660,0.6660,+0.0000,MATCH,
losnet_hotpotqa_mistral7b,ATP+R-MLP,ATP+R-MLP,published_baselines.csv,0.6892,0.6892,+0.0000,MATCH,
losnet_hotpotqa_mistral7b,ATP+R-Transf.,ATP+R-Transf.,published_baselines.csv,0.6970,0.6970,-0.0000,MATCH,
losnet_hotpotqa_mistral7b,Activation Probes,Activation Probes,published_baselines.csv,0.7300,0.7300,+0.0000,MATCH,
losnet_hotpotqa_mistral7b,LOS-Net,LOS-Net,published_baselines.csv,0.7292,0.7292,-0.0000,MATCH,
losnet_hotpotqa_mistral7b,LOS-Net,LOS-Net,scores_lsml_upcr.csv,0.7292,0.7292,-0.0000,MATCH,
losnet_hotpotqa_mistral7b,Logits-max,Logits-max,published_baselines.csv,0.5300,0.5300,+0.0000,MATCH,
losnet_hotpotqa_mistral7b,Logits-mean,Logits-mean,published_baselines.csv,0.6100,0.6100,+0.0000,MATCH,
losnet_hotpotqa_mistral7b,Logits-min,Logits-min,published_baselines.csv,0.6100,0.6100,+0.0000,MATCH,
losnet_hotpotqa_mistral7b,Probas-max,Probas-max,published_baselines.csv,0.5000,0.5000,+0.0000,MATCH,
losnet_hotpotqa_mistral7b,Probas-mean,Probas-mean,published_baselines.csv,0.6300,0.6300,+0.0000,MATCH,
losnet_hotpotqa_mistral7b,Probas-min,Probas-min,published_baselines.csv,0.5800,0.5800,+0.0000,MATCH,
losnet_hotpotqa_mistral7b,Semantic Entropy,Semantic Entropy,published_baselines.csv,0.6766,0.6766,+0.0000,MATCH,
losnet_hotpotqa_mistral7b,p(True),p(True),published_baselines.csv,0.5400,0.5400,+0.0000,MATCH,
noise_gsm8k_mistral7b,Noise Injection,Noise Injection,scores_lsml_upcr.csv,0.7850,0.7850,+0.0000,MATCH,
noise_gsm8k_mistral7b,Noise Injection,Noise Injection,reasoning_benchmark.csv,0.7850,0.7850,+0.0000,MATCH,
noise_gsm8k_phi3mini,Noise Injection,Noise Injection,scores_lsml_upcr.csv,0.7251,0.7251,-0.0000,MATCH,
