budget,group,is_final,label_error,method,score,trace_id,trace_length,unit_index
16,olympiadbench-30,False,1,mean_entropy,0.08963093960090873,olympiadbench-30,409,2
16,olympiadbench-30,False,1,max_entropy,0.5824813842773438,olympiadbench-30,409,2
16,olympiadbench-30,False,1,deepconf_entropy_w32,0.08963093960090873,olympiadbench-30,409,2
16,olympiadbench-30,False,1,deepconf_entropy_w64,0.08963093960090873,olympiadbench-30,409,2
16,olympiadbench-30,False,1,iu28_no_length,-0.17354906779429558,olympiadbench-30,409,2
16,olympiadbench-30,False,1,global_gl_liu_no_length,-5.661868932173875,olympiadbench-30,409,2
16,olympiadbench-30,False,1,global_gl_liu_elapsed_length,-5.487736612257322,olympiadbench-30,409,2
16,olympiadbench-30,False,1,local_temporal_gl_liu_max,-0.3350966261487512,olympiadbench-30,409,2
16,olympiadbench-30,False,1,local_dufs_gl_liu_top5,-0.24693372290049018,olympiadbench-30,409,2
16,olympiadbench-30,False,1,cusum_max,0.3394710914282655,olympiadbench-30,409,2
16,olympiadbench-30,False,1,sw_var_peak,0.027323019637779233,olympiadbench-30,409,2
16,olympiadbench-30,False,1,fused_gl_liu,-9.769397741083223,olympiadbench-30,409,2
16,olympiadbench-30,False,1,cusum_swvar_equal,-2.8653011511081328,olympiadbench-30,409,2
32,olympiadbench-30,False,1,mean_entropy,0.25769494330295206,olympiadbench-30,409,2
32,olympiadbench-30,False,1,max_entropy,1.5216937065124512,olympiadbench-30,409,2
32,olympiadbench-30,False,1,deepconf_entropy_w32,0.25769494330295206,olympiadbench-30,409,2
32,olympiadbench-30,False,1,deepconf_entropy_w64,0.25769494330295206,olympiadbench-30,409,2
32,olympiadbench-30,False,1,iu28_no_length,0.43682642388023607,olympiadbench-30,409,2
32,olympiadbench-30,False,1,global_gl_liu_no_length,-0.868277537760448,olympiadbench-30,409,2
32,olympiadbench-30,False,1,global_gl_liu_elapsed_length,-0.8975145647734267,olympiadbench-30,409,2
32,olympiadbench-30,False,1,local_temporal_gl_liu_max,-0.13972287708381617,olympiadbench-30,409,2
32,olympiadbench-30,False,1,local_dufs_gl_liu_top5,-0.06557461123346942,olympiadbench-30,409,2
32,olympiadbench-30,False,1,cusum_max,3.713440341060892,olympiadbench-30,409,2
32,olympiadbench-30,False,1,sw_var_peak,0.28228594371909155,olympiadbench-30,409,2
32,olympiadbench-30,False,1,fused_gl_liu,-2.090299615542926,olympiadbench-30,409,2
32,olympiadbench-30,False,1,cusum_swvar_equal,-1.7740011162437006,olympiadbench-30,409,2
64,olympiadbench-30,False,1,mean_entropy,0.3320207398083306,olympiadbench-30,409,2
