subset,model_view,row_count,complete_telemetry_rows,storage,artifact_sha256,artifact_size,labels_accessed
gsm8k,pb_qwen3_4b,400,400,local_git_lfs_object,549843b11a99f41b60ccb13eb6a65c5583527402602e6e40d1a417699e64b02b,49801034,False
gsm8k,pb_qwen3_8b,400,400,local_git_lfs_object,c258e8a37fad43216290fef2f70c88735f413f8c0ceb5cce39dfefe67d66955d,49801034,False
gsm8k,pb_llama31_8b,400,400,working_tree_file,6749d1b846e29288e46536f9d9d8e63715b447576950d8e2131fe3420a16cead,46533275,False
math,pb_qwen3_4b,1000,1000,local_git_lfs_object,807292c490012b68c7a20cc3d093cda637866227940b9024b258b6a201657c32,227049038,False
math,pb_qwen3_8b,1000,1000,local_git_lfs_object,19cbbb2b4f90e073f2793360f142bc25334f88bbc4ec01fd78807f9f1ad2836d,227049038,False
math,pb_llama31_8b,1000,1000,working_tree_file,119c95ca5abc8d6f9e71bdd595db9b847373067d9aa8e4e9b349fa2b1f174953,217743700,False
olympiadbench,pb_qwen3_4b,1000,1000,local_git_lfs_object,e5e73f044247e0fb4081fea1c3a77793aab182485daebce48cf7a3f7809eb0ae,338485050,False
olympiadbench,pb_qwen3_8b,1000,1000,local_git_lfs_object,2083c4f9d0cc8d84657b02558d0720f726db4288e39e7557be4c55f78f4d4e60,338485050,False
olympiadbench,pb_llama31_8b,1000,1000,working_tree_file,ea2592de68100aeb140ce1d3a373e87d36e00685863e0dfb8c6721fa05a1812d,324953017,False
omnimath,pb_qwen3_4b,1000,1000,local_git_lfs_object,ec20e56553acee15c0646ad266f5d5d8d24ef22ba87289b6ffe013b0c639ba67,335250837,False
omnimath,pb_qwen3_8b,1000,1000,local_git_lfs_object,561b96c5e96a25256e7e51a62c7ef01bcb2fd87ea1adcfc36e2c758807f559a0,335250837,False
omnimath,pb_llama31_8b,1000,1000,working_tree_file,d1f9ad59eacbba64963b763e07209bdccb570f9875382f1b38c5573678ce81e4,323707679,False
