feature,replicate_mean_bias,within_variance,total_variance,raw_reliability
epr,0.12889724950720674,0.18174954079926955,1.0050251256281406,0.8191592069047268
spectral_entropy,0.20832283680486327,0.03779628155133865,1.005025125628141,0.9623926998564181
low_band_power,0.4583117830938205,0.49254702604233186,1.0050251256281415,0.5099157090878801
high_band_power,0.3981301273205942,0.7898155480024087,1.0050251256281406,0.21413352973760325
hl_ratio,0.5226954572495135,0.8140544526797475,1.0050251256281408,0.19001581958365132
dominant_freq,1.1513344511078054,1.9823818284212464,1.0050251256281406,-0.9724699192791404
spectral_centroid,0.35036784843356666,0.4963234766240435,1.0050251256281413,0.506158140759077
stft_max_high_power,0.7104400574833575,0.7467945096853159,1.005025125628141,0.2569394628631109
stft_spectral_entropy,0.7327941638053679,0.6618491073900299,1.0050251256281393,0.34146013814691933
rpdi,1.1154923569203208,0.8651752929574479,1.0050251256281406,0.13915058350733928
sw_var_peak,0.3105816595675522,0.21373878848822747,1.005025125628141,0.7873299054542138
pe_mean,0.7636466458118187,1.4724820668242666,1.0050251256281404,-0.46511965649014575
hurst_exponent,0.8316477371035251,0.4954017114891339,1.005025125628141,0.5070752970683119
cusum_max,0.732796113741377,0.09422151125585039,1.005025125628141,0.9062495963004289
cusum_shift_idx,1.0708645276998385,1.1138561155478395,1.0050251256281404,-0.10828683497010062
epr_spilled,0.2507289605612906,0.7188811540159306,1.0050251256281406,0.284713251754149
sw_var_peak_spilled,2.4761943640111124,15.010150349183988,1.0050251256281406,-13.93509959743807
cusum_max_spilled,1.4477280258830851,0.8187455565865953,1.0050251256281406,0.1853481711963376
epr_energy,0.081487414026499,0.07373318776054102,1.0050251256281406,0.9266354781782616
min_energy,0.2964528872219544,0.15660392166643392,1.0050251256281406,0.8441790979418983
sw_var_peak_energy,0.28380615819686283,0.19683918383547946,1.0050251256281406,0.8041450120836979
cusum_max_energy,0.7301776248655247,0.11958062263512183,1.0050251256281406,0.8810172804780538
mean_top1_logprob,0.1394268183986202,0.21521608051370067,1.005025125628141,0.7858599998888679
logprob_margin,0.10994592689069521,0.14204873237837265,1.005025125628141,0.8586615112835192
mean_logprob_entropy,0.12808295275656842,0.1780605657440858,1.005025125628141,0.8228297370846347
varentropy,0.11529128966769772,0.14392501649178613,1.0050251256281408,0.8567946085906728
renyi_entropy_2,0.13416201144401996,0.19846580561418636,1.0050251256281408,0.8025265234138846
topk_tail_mass,0.12748606656597575,0.1459278966292969,1.0050251256281406,0.8548017428538496
