phase_id,experiment_id,variant_id,gate_id,metric_id,observed,threshold,direction,passed,unit,status,evidence_status,source_artifact,source_sha256,source_row_selector,source_value_field,notes
P0,P0_BRIDGE,R2_HISTORICAL_FAMILY6_BRIDGE,P0_S0_CHECKSUM_EQUIVALENT,checksum_equivalence,true,true,eq,true,boolean,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s0_historical_replay/P0_S0_GATES.csv,66e4c7fbb8fbc15d31dc165c3c0021b9357f5dcb933b8c622844cb5a489260c6,gate_id=P0_S0_CHECKSUM_EQUIVALENT,observed,Per-question bytes and aggregate/cell/interval semantics match the frozen Stage-4 artifacts.
P0,P0_BRIDGE,R2_HISTORICAL_FAMILY6_BRIDGE,P0_S0_EXACT_EIGHT_CELL_POPULATION,population_cells,8,8,eq,true,cells,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s0_historical_replay/P0_S0_GATES.csv,66e4c7fbb8fbc15d31dc165c3c0021b9357f5dcb933b8c622844cb5a489260c6,gate_id=P0_S0_EXACT_EIGHT_CELL_POPULATION,observed,Population is 8 scorer cells with 1270 scorer rows grouped into 635 source questions.
P0,P0_BRIDGE,R2_HISTORICAL_FAMILY6_BRIDGE,P0_S0_FROZEN_PROTOCOL_SHA,protocol_sha256,c921b0d446eebd4611c4426168c30410741997ea2c6d23238e5d22b83e8d1e5b,c921b0d446eebd4611c4426168c30410741997ea2c6d23238e5d22b83e8d1e5b,eq,true,sha256,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s0_historical_replay/P0_S0_GATES.csv,66e4c7fbb8fbc15d31dc165c3c0021b9357f5dcb933b8c622844cb5a489260c6,gate_id=P0_S0_FROZEN_PROTOCOL_SHA,observed,Replay imports the recovered frozen protocol rather than the later drifted live document.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,P0_S1_S0_RECONSTRUCTION_EXACT,s0_reconstruction_exact,true,true,eq,true,boolean,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_GATES.csv,39536515c0fc3414462f625bc96baeeebba7d9f228fb0b7c25dc416304450a60,gate_id=P0_S1_S0_RECONSTRUCTION_EXACT,observed,All S0 locators predictions targets scores thresholds metrics and fitted diagnostics reconstruct within 1e-12.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,P0_S1_ONE_FACTOR_REDUCER_ONLY,single_factor,step_max_token_argmax,step_max_token_argmax,eq,true,reducer,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_GATES.csv,39536515c0fc3414462f625bc96baeeebba7d9f228fb0b7c25dc416304450a60,gate_id=P0_S1_ONE_FACTOR_REDUCER_ONLY,observed,Only the step reducer changes from top-five mean to token argmax mapped to step.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,P0_S1_POPULATION_HASH_UNCHANGED,population_sha256,d12d651cad9bec326686c2c83070644d22ca058ed57e942f683452050e757a05,d12d651cad9bec326686c2c83070644d22ca058ed57e942f683452050e757a05,eq,true,sha256,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_GATES.csv,39536515c0fc3414462f625bc96baeeebba7d9f228fb0b7c25dc416304450a60,gate_id=P0_S1_POPULATION_HASH_UNCHANGED,observed,Source-question population and grouping are unchanged from S0.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,P0_S1_PAIRED_GROUP_COVERAGE,paired_groups,635,635,eq,true,groups,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_GATES.csv,39536515c0fc3414462f625bc96baeeebba7d9f228fb0b7c25dc416304450a60,gate_id=P0_S1_PAIRED_GROUP_COVERAGE,observed,All 635 source-question groups participate in the paired contrast.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,P0_S1_BOOTSTRAP_DRAWS,bootstrap_draws,20000,20000,eq,true,draws,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_GATES.csv,39536515c0fc3414462f625bc96baeeebba7d9f228fb0b7c25dc416304450a60,gate_id=P0_S1_BOOTSTRAP_DRAWS,observed,The registered 20000 paired bootstrap draws were used.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,P0_S1_SOURCE_HASHES_STABLE,source_manifest_sha256,894524d27bef2eb99e6a49f7708f36e4b7417e740473ac6da4562520937418f1,894524d27bef2eb99e6a49f7708f36e4b7417e740473ac6da4562520937418f1,eq,true,sha256,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_GATES.csv,39536515c0fc3414462f625bc96baeeebba7d9f228fb0b7c25dc416304450a60,gate_id=P0_S1_SOURCE_HASHES_STABLE,observed,All registered sources retained their preflight hashes through the run.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,P0_S2A_S1_RECONSTRUCTION_EXACT,s1_reconstruction_exact,true,true,eq,true,boolean,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_GATES.csv,b1761d2fc4ef68c2319e17d60d556ac56d4a38d5d6b23eff01edfc7b48f86373,gate_id=P0_S2A_S1_RECONSTRUCTION_EXACT,observed,All S1 units targets locators predictions scores thresholds and metrics reconstruct within 1e-12.
