family,method,pool,description,origin,track_record,similar,macro,qa,math,cells,size_mean,size_median,size_min,size_max,size_cells,top_features,picks_subset,needs_anchor,scale,reproduces,macro_today,drift_pp,frac_size3,macro_spread_pp,cell_spread_pp,worst_cell_spread_pp,macro_eigen,macro_complete,role,status,step
reference_macros,ref.LOCO_5,c46,"A NEW 5-view subset found by exhaustive enumeration over the 30-view pool, validated leave-one-cell-out (not chosen in-sample like GOOD_5/6) — the current best fixed subset, beats GOOD_6 by +0.73pp. Emits the fixed subsets (GOOD_5/6, LOCO_5, ...) through the exact same select-then-fuse-then-score path every learned selector uses, so they land in the same leaderboard with identical metrics.",None — not a selector.,"This is the comparison target, not a candidate — see the Reference subsets section above for numbers.","ref.ALL_H16, ref.GOOD_5, ref.GOOD_6, ref.STABLE_H9",0.7705,0.7437,0.7866,24,5,5.0,5,5,24,"spectral_entropy, cusum_max, min_energy",no — fixed,yes,unit,verified,0.7705,0.0,0.0,0.0,0.0,0.0,0.7629,0.7644,"reference_macro (hand-curated, not FS output)","24 cells, not 25 — not strictly comparable",Step 195
a1_residual,a1.router@loco5+scale_complete,c46,"Same router, but on LOCO_5 instead of GOOD_5 — beats router@good5 but still loses to LOCO_5 un-routed. For each candidate subset: build the covariance, spectral-cluster it into K groups, measure the residual of that fit. Also includes a router between L-SML and U-PCR fusion based on which has the lower residual, and swapping the K-selection rule for the Ahn-Horenstein / Kritchman-Nadler rank tests. Same method, re-derived with L-SML's rank-one loading estimator set to scale S. 'unit' is the historical default and does not satisfy Lemma 1; 'complete' is the exact masked-completion fit. Only selectors whose objective calls L-SML are affected.","Jaffe, Nadler, Kluger — ""Estimating the Accuracies of Multiple Classifiers Without Labels"" (arXiv:1407.7644, 2014). Reuses the paper's own Eq-14 structural residual — how well a K-group rank-one covariance model fits a subset's correlation structure — but as a SELECTION criterion, which is not what the paper proposes it for (the paper uses it internally at fusion time; we search over subsets to minimize it).","Every variant scored BELOW GOOD_5 on the 25 in-scope cells (best: a1.router@good5 0.7494 vs GOOD_5 0.7519). Verdict: the residual objective is not admissible as a selection criterion — it is nearly orthogonal to separability (weakly ANTI-correlated with AUROC, Spearman ~ -0.11 to -0.17).","a1.router@loco5, a1.good5+K_ah, a1.good5+K_kn, a1.minres+K_ah, a1.minres_exh_adapt",0.7705,0.7437,0.7866,24,5,5.0,5,5,24,"spectral_entropy, cusum_max, min_energy",no — fixed,yes,complete,re-run today,0.7705,,0.0,,,,,,"router (fixed subset, learned fusion choice only)","corrected criterion, +1.21pp vs 'unit'",205
reference_macros,ref.GOOD_6,c46,"GOOD_5 + varentropy; +1.1pp macro over GOOD_5 on the 19-cell grid, was the headline fixed subset until LOCO_5. Emits the fixed subsets (GOOD_5/6, LOCO_5, ...) through the exact same select-then-fuse-then-score path every learned selector uses, so they land in the same leaderboard with identical metrics.",None — not a selector.,"This is the comparison target, not a candidate — see the Reference subsets section above for numbers.","ref.ALL_H16, ref.GOOD_5, ref.LOCO_5, ref.STABLE_H9",0.7594,0.7274,0.7807,25,6,6,6,6,25,"epr, spectral_entropy, low_band_power",no — fixed,yes,unit,verified,0.7594,0.0,0.0,0.0,0.0,0.0,0.7548,0.7582,"reference_macro (hand-curated, not FS output)",,Step 182/184
a1_residual,a1.router@loco5,c46,"Same router, but on LOCO_5 instead of GOOD_5 — beats router@good5 but still loses to LOCO_5 un-routed. For each candidate subset: build the covariance, spectral-cluster it into K groups, measure the residual of that fit. Also includes a router between L-SML and U-PCR fusion based on which has the lower residual, and swapping the K-selection rule for the Ahn-Horenstein / Kritchman-Nadler rank tests.","Jaffe, Nadler, Kluger — ""Estimating the Accuracies of Multiple Classifiers Without Labels"" (arXiv:1407.7644, 2014). Reuses the paper's own Eq-14 structural residual — how well a K-group rank-one covariance model fits a subset's correlation structure — but as a SELECTION criterion, which is not what the paper proposes it for (the paper uses it internally at fusion time; we search over subsets to minimize it).","Every variant scored BELOW GOOD_5 on the 25 in-scope cells (best: a1.router@good5 0.7494 vs GOOD_5 0.7519). Verdict: the residual objective is not admissible as a selection criterion — it is nearly orthogonal to separability (weakly ANTI-correlated with AUROC, Spearman ~ -0.11 to -0.17).","a1.good5+K_ah, a1.good5+K_kn, a1.minres+K_ah, a1.minres_exh_adapt",0.7584,0.7382,0.7704,24,5,5.0,5,5,24,"spectral_entropy, cusum_max, min_energy",no — fixed,yes,unit,re-run today,0.7584,,0.0,0.0,0.0,0.0,0.686,0.6852,"router (fixed subset, learned fusion choice only)",,Step 195/196 (WS6)
upcr,upcr.rho_polarities,inscope,"Per-feature polarity derived from sign(rho) instead of the 42 hand signs. U-PCR (Dror/Nadler/Bilal/Kluger 2017) estimates fusion weights by turning 'which feature do I trust' into one equation per feature pair, assuming features fail independently. It uses the whole pool — any reduction comes from its own label-free exclusion step, not from subset selection.","Dror, Nadler, Bilal & Kluger, Unsupervised Ensemble Regression, arXiv:1703.02965 (2017).",Step 204: every paper-faithful flag hurts or does nothing; the clustered variant fails both pre-registered gates; nothing reaches GOOD_6.,"upcr.legacy, upcr.faithful, upcr.clustered",0.7551,,,25,11.7,,,,25,— (no selection; exclusion only),no — uses all views,yes,n/a,re-run Step 204,0.7551,,0.0,,,,,,fs_selector_candidate,,204
upcr,upcr.best_of_64,inscope,"Best of the 64-configuration factorial — a winner's-curse ceiling, not a result. U-PCR (Dror/Nadler/Bilal/Kluger 2017) estimates fusion weights by turning 'which feature do I trust' into one equation per feature pair, assuming features fail independently. It uses the whole pool — any reduction comes from its own label-free exclusion step, not from subset selection.","Dror, Nadler, Bilal & Kluger, Unsupervised Ensemble Regression, arXiv:1703.02965 (2017).",Step 204: every paper-faithful flag hurts or does nothing; the clustered variant fails both pre-registered gates; nothing reaches GOOD_6.,"upcr.legacy, upcr.faithful, upcr.clustered",0.7533,,,25,11.7,,,,25,— (no selection; exclusion only),no — uses all views,yes,n/a,re-run Step 204,0.7533,,0.0,,,,,,fs_selector_candidate,,204
a6_pseudolabel_gates,a6.pl_dufs,c46,"THE headline a6 output: seed views + DUFS gates supervised by the pseudo-label. Adopted as selector of record despite both pre-registered gates FAILING their bar. Fuse 4 seed views (epr, low_band_power, spectral_entropy, cusum_max — a label-free priority-list rule, held out of the selectable pool to avoid circularity) via continuous L-SML into a pseudo-label; supervise DUFS's per-feature gates with a CENTERED agreement-with-pseudo-label reward on top of the unsupervised Laplacian-smoothness term.","No single paper — Omri's idea (2026-07-22), built on top of a2_groupfs's DUFS gate machinery (Lindenbaum et al. 2021, see a2_groupfs) plus the project's own prior pseudo-label mechanism (`fusion_utils.best_nadler_pseudo_label`, Step ~100, which built a pseudo-label by MAJORITY-VOTE BINARIZATION for an exhaustive search — a6 instead uses CONTINUOUS L-SML fusion and spends the pseudo-label on the gate objective).","a6.pl_dufs 0.7524 — the ONLY learned selector to nominally edge GOOD_5 (+0.05pp, not significant), and ADOPTED AS THE SELECTOR OF RECORD despite both pre-registered gates (mechanism rho>=0.30, performance >=+1.0pp) FAILING. Seed-choice experiments (2026-07-23, WS4): swapping seeds for LOCO_5's views or diverse-centrality picks moves it by only -0.02 to -0.07pp — the seed set is not the lever. A full-pool (no-held-out-seeds) variant (a6.fp_dufs) scores about the same (0.7508).","a6.dufs, a6.fp_dufs, a6.fp_rank, a6.pl_dufs@central4",0.7524,0.7091,0.7813,25,20.2,20,16,24,25,"epr, spectral_entropy, low_band_power",yes,yes,unit,verified,0.7524,0.0,0.0,0.0,0.0,0.0,0.7328,0.734,OUR ALGORITHM (selector of record),,Step 194
a6_pseudolabel_gates,a6.pl_dufs@loco5,c46,"a6.pl_dufs with the LOCO_5 views as the seed set instead of the default 4 — tests Omri's 4a (was the seed choice too quick?). Answer: no change (+0.01pp). Fuse 4 seed views (epr, low_band_power, spectral_entropy, cusum_max — a label-free priority-list rule, held out of the selectable pool to avoid circularity) via continuous L-SML into a pseudo-label; supervise DUFS's per-feature gates with a CENTERED agreement-with-pseudo-label reward on top of the unsupervised Laplacian-smoothness term.","No single paper — Omri's idea (2026-07-22), built on top of a2_groupfs's DUFS gate machinery (Lindenbaum et al. 2021, see a2_groupfs) plus the project's own prior pseudo-label mechanism (`fusion_utils.best_nadler_pseudo_label`, Step ~100, which built a pseudo-label by MAJORITY-VOTE BINARIZATION for an exhaustive search — a6 instead uses CONTINUOUS L-SML fusion and spends the pseudo-label on the gate objective).","a6.pl_dufs 0.7524 — the ONLY learned selector to nominally edge GOOD_5 (+0.05pp, not significant), and ADOPTED AS THE SELECTOR OF RECORD despite both pre-registered gates (mechanism rho>=0.30, performance >=+1.0pp) FAILING. Seed-choice experiments (2026-07-23, WS4): swapping seeds for LOCO_5's views or diverse-centrality picks moves it by only -0.02 to -0.07pp — the seed set is not the lever. A full-pool (no-held-out-seeds) variant (a6.fp_dufs) scores about the same (0.7508).","a6.dufs, a6.fp_dufs, a6.fp_rank, a6.pl_dufs",0.752,0.711,0.7793,25,20.5,20,17,24,25,"epr, spectral_entropy, cusum_max",no — fixed,yes,unit,verified,0.752,0.0,0.0,0.0,0.0,0.0,0.7436,0.7439,fs_selector_candidate,,Step 196 (WS4 Arm B)
reference_macros,ref.GOOD_5,c46,"The original 5-feature hand-picked subset; the long-standing compatibility baseline. Emits the fixed subsets (GOOD_5/6, LOCO_5, ...) through the exact same select-then-fuse-then-score path every learned selector uses, so they land in the same leaderboard with identical metrics.",None — not a selector.,"This is the comparison target, not a candidate — see the Reference subsets section above for numbers.","ref.ALL_H16, ref.GOOD_6, ref.LOCO_5, ref.STABLE_H9",0.7519,0.721,0.7725,25,5,5,5,5,25,"epr, spectral_entropy, low_band_power",no — fixed,yes,unit,verified,0.7519,0.0,0.0,0.0,0.0,0.0,0.747,0.7411,"reference_macro (hand-curated, not FS output)",,Step 100s
reference_macros,ref.GOOD_5,h16,"The original 5-feature hand-picked subset; the long-standing compatibility baseline. Emits the fixed subsets (GOOD_5/6, LOCO_5, ...) through the exact same select-then-fuse-then-score path every learned selector uses, so they land in the same leaderboard with identical metrics.",None — not a selector.,"This is the comparison target, not a candidate — see the Reference subsets section above for numbers.","ref.ALL_H16, ref.GOOD_6, ref.LOCO_5, ref.STABLE_H9",0.7519,0.721,0.7725,25,5,5,5,5,25,"epr, spectral_entropy, low_band_power",no — fixed,yes,unit,within its own noise,0.7519,0.0,0.0,0.0,0.0,0.0,0.747,0.7411,"reference_macro (hand-curated, not FS output)",,Step 100s
