split,replicate,seed,world,control,n_edges,n_components,degree_min,degree_mean,degree_max,algebraic_connectivity,graph_symmetry_error,roughness_min_eigenvalue,laplacian_relative_distance_vs_ungated,energy_monotone
development,0,10000,smooth_signal,dufs,1791,1,0.9902822639914504,3.9091373442414565,8.346264947987313,0.029641874593036858,0.0,0.07361569927121175,0.36708836913519965,True
development,0,10000,smooth_signal,ungated,1869,1,1.8241226727969946,3.9571214068569196,9.20877677015049,0.0790984749892623,0.0,0.10565133713905249,0.0,True
development,0,10000,smooth_signal,random_gates,1788,1,1.6997013661564722,3.9641136735177156,7.427873072642848,0.04037436679946503,0.0,0.09086151222761686,0.3039244878503236,True
development,0,10000,smooth_signal,permuted_graph,1791,1,0.9902822639914504,3.9091373442414565,8.346264947987313,0.02964187459303706,0.0,0.12342953056303939,0.4278220967775511,True
development,0,10000,smooth_signal,oracle_latent,1462,2,2.051859205429137,5.068174979779301,7.10556528890356,0.0,0.0,0.11355739997381024,0.44610792565074586,True
development,0,20003,correlated_errors,dufs,1759,1,1.1049761471409076,3.9012511648468116,7.648337657920963,0.01969484820968874,0.0,0.028149731131348797,0.11568921746664537,True
development,0,20003,correlated_errors,ungated,1756,1,1.1339804106347167,3.886334323427931,7.908672068390501,0.03608988461156744,0.0,0.028932044553396315,0.0,True
development,0,20003,correlated_errors,random_gates,1752,1,1.1989583607625838,3.8751899850577405,8.055945063744145,0.03550316186861171,0.0,0.028708049966477998,0.1126768621563766,True
development,0,20003,correlated_errors,permuted_graph,1759,1,1.1049761471409076,3.9012511648468116,7.648337657920963,0.03684806374332236,0.0,0.030010606261439334,0.43388479303570765,True
development,0,20003,correlated_errors,oracle_latent,1461,2,0.5998046722771928,5.002626897547942,7.019924786338117,0.0,0.0,0.03089785348592554,0.45180274795947095,True
development,0,30006,nuisance_manifold,dufs,1750,1,2.133846997329797,3.8886361412073875,8.177541916810902,0.0225348534955975,0.0,0.04724009352862374,0.11851609503140138,True
development,0,30006,nuisance_manifold,ungated,1752,1,2.0452444840066977,3.883963103144524,7.400146549088466,0.027322950875011784,0.0,0.04772965003625738,0.0,True
